subject,pdf_page,content_page,wusan_chapter,wusan_section,renjiao_book,renjiao_chapter,locator
PHYSICS,0064,57,第五章 万有引力与宇宙航行,微专题9（续） / 题型2 双星和多星问题,必修第二册,第七章 万有引力与宇宙航行,第五章 万有引力与宇宙航行 / 微专题9（续）/ 题型2 双星和多星问题
PHYSICS,0065,58,第六章 机械能守恒定律,第1节 功和功率 / 考点1 功的分析和计算,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第1节 功和功率 / 考点1 功的分析和计算
PHYSICS,0066,59,第六章 机械能守恒定律,第1节（续） / 考点2 功率的分析和计算、考点3 机车启动问题,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第1节（续）/ 考点2 功率的分析和计算、考点3 机车启动问题
PHYSICS,0067,60,第六章 机械能守恒定律,第2节 动能定理及其应用 / 考点1 动能定理的理解和基本应用,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第2节 动能定理及其应用 / 考点1 动能定理的理解和基本应用
PHYSICS,0068,61,第六章 机械能守恒定律,第2节（续） / 规律总结与考点2 动能定理与图像结合,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第2节（续）/ 规律总结与考点2 动能定理与图像结合
PHYSICS,0069,62,第六章 机械能守恒定律,微专题10 动能定理在多过程运动中的应用,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 微专题10 动能定理在多过程运动中的应用
PHYSICS,0070,63,第六章 机械能守恒定律,第3节 机械能守恒定律及其应用 / 考点1 机械能守恒的判断,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第3节 机械能守恒定律及其应用 / 考点1 机械能守恒的判断
PHYSICS,0071,64,第六章 机械能守恒定律,第3节（续） / 考点3 系统的机械能守恒问题,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第3节（续）/ 考点3 系统的机械能守恒问题
PHYSICS,0072,65,第六章 机械能守恒定律,第4节 功能关系 能量守恒,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第4节 功能关系 能量守恒
PHYSICS,0073,66,第六章 机械能守恒定律,第4节（续） / 考点2 能量守恒定律的理解和应用,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 第4节（续）/ 考点2 能量守恒定律的理解和应用
PHYSICS,0074,67,第六章 机械能守恒定律,微专题11 动力学和能量观点相结合的两类典型模型 / 题型1 传送带模型,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 微专题11 动力学和能量观点相结合的两类典型模型 / 题型1 传送带模型
PHYSICS,0075,68,第六章 机械能守恒定律,微专题11（续） / 题型2 滑块-木板模型,必修第二册,第八章 机械能守恒定律,第六章 机械能守恒定律 / 微专题11（续）/ 题型2 滑块-木板模型
PHYSICS,0076,69,第六章 机械能守恒定律,实验7 验证机械能守恒定律,必修第二册,第八章 机械能守恒定律（实验：验证机械能守恒定律）,第六章 机械能守恒定律 / 实验7 验证机械能守恒定律
PHYSICS,0077,70,第七章 动量守恒定律,第1节 动量定理及其应用 / 考点1 动量和冲量,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第1节 动量定理及其应用 / 考点1 动量和冲量
PHYSICS,0078,71,第七章 动量守恒定律,第1节（续） / 考点2 动量定理的理解及应用,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第1节（续）/ 考点2 动量定理的理解及应用
PHYSICS,0079,72,第七章 动量守恒定律,第1节（续） / 考点3 应用动量定理分析流体问题、考点4 分方向动量定理,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第1节（续）/ 考点3 应用动量定理分析流体问题、考点4 分方向动量定理
PHYSICS,0080,73,第七章 动量守恒定律,第2节 动量守恒定律 / 考点1 动量守恒定律的理解和应用,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第2节 动量守恒定律 / 考点1 动量守恒定律的理解和应用
PHYSICS,0081,74,第七章 动量守恒定律,第2节（续）,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第2节（续）
PHYSICS,0082,75,第七章 动量守恒定律,第2节（续） / 反冲现象、人船模型,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 第2节（续）/ 反冲现象、人船模型
PHYSICS,0083,76,第七章 动量守恒定律,微专题12 动量守恒中的几种常见模型 / 题型1 子弹打木块模型、题型2 滑块-木板模型,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 微专题12 动量守恒中的几种常见模型 / 题型1 子弹打木块模型、题型2 滑块-木板模型
PHYSICS,0084,77,第七章 动量守恒定律,微专题12（续） / 题型3 滑块-弹簧模型,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 微专题12（续）/ 题型3 滑块-弹簧模型
PHYSICS,0085,78,第七章 动量守恒定律,微专题12（续） / 题型4 滑块-斜（曲）面体模型,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 微专题12（续）/ 题型4 滑块-斜（曲）面体模型
PHYSICS,0086,79,第七章 动量守恒定律,微专题13 力学三大观点的综合应用,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 微专题13 力学三大观点的综合应用
PHYSICS,0087,80,第七章 动量守恒定律,微专题13（续） / 方法提升：变换参考系,选择性必修第一册,第一章 动量守恒定律,第七章 动量守恒定律 / 微专题13（续）/ 方法提升：变换参考系
PHYSICS,0088,81,第七章 动量守恒定律,实验8 验证动量守恒定律,选择性必修第一册,第一章 动量守恒定律（实验：验证动量守恒定律）,第七章 动量守恒定律 / 实验8 验证动量守恒定律
PHYSICS,0089,82,第八章 机械振动 机械波,第1节 机械振动 / 考点1 弹簧振子 简谐运动,选择性必修第一册,第二章 机械振动,第八章 机械振动 机械波 / 第1节 机械振动 / 考点1 弹簧振子 简谐运动
PHYSICS,0090,83,第八章 机械振动 机械波,第1节（续） / 归纳总结、考点2 单摆,选择性必修第一册,第二章 机械振动,第八章 机械振动 机械波 / 第1节（续）/ 归纳总结、考点2 单摆
PHYSICS,0091,84,第八章 机械振动 机械波,第1节（续） / 考点3 受迫振动 共振,选择性必修第一册,第二章 机械振动,第八章 机械振动 机械波 / 第1节（续）/ 考点3 受迫振动 共振
PHYSICS,0092,85,第八章 机械振动 机械波,第2节 机械波 / 考点1 机械波的形成 波的图像,选择性必修第一册,第三章 机械波,第八章 机械振动 机械波 / 第2节 机械波 / 考点1 机械波的形成 波的图像
PHYSICS,0093,86,第八章 机械振动 机械波,第2节（续） / 考点2 波传播的周期性和多解性问题,选择性必修第一册,第三章 机械波,第八章 机械振动 机械波 / 第2节（续）/ 考点2 波传播的周期性和多解性问题
PHYSICS,0094,87,第八章 机械振动 机械波,第2节（续） / 考点3 波的干涉、衍射 多普勒效应,选择性必修第一册,第三章 机械波,第八章 机械振动 机械波 / 第2节（续）/ 考点3 波的干涉、衍射 多普勒效应
PHYSICS,0095,88,第八章 机械振动 机械波,微专题14 波的图像和振动图像的综合应用,选择性必修第一册,第三章 机械波,第八章 机械振动 机械波 / 微专题14 波的图像和振动图像的综合应用
PHYSICS,0096,89,第八章 机械振动 机械波,微专题15 简谐运动在力学中的综合应用,选择性必修第一册,第二章 机械振动,第八章 机械振动 机械波 / 微专题15 简谐运动在力学中的综合应用
PHYSICS,0097,90,第八章 机械振动 机械波,微专题15（续） / 题型3 简谐运动处理电场问题、题型4 简谐运动处理动量问题,选择性必修第一册,第二章 机械振动,第八章 机械振动 机械波 / 微专题15（续）/ 题型3 简谐运动处理电场问题、题型4 简谐运动处理动量问题
PHYSICS,0098,91,第八章 机械振动 机械波,实验9 用单摆测量重力加速度,选择性必修第一册,第二章 机械振动（实验：用单摆测量重力加速度）,第八章 机械振动 机械波 / 实验9 用单摆测量重力加速度
PHYSICS,0099,92,第九章 静电场,第1节 静电场中力的性质 / 考点1 电荷守恒定律 库仑定律,必修第三册,第九章 静电场及其应用,第九章 静电场 / 第1节 静电场中力的性质 / 考点1 电荷守恒定律 库仑定律
PHYSICS,0100,93,第九章 静电场,第1节（续） / 考点3 电场线的理解及应用,必修第三册,第九章 静电场及其应用,第九章 静电场 / 第1节（续）/ 考点3 电场线的理解及应用
PHYSICS,0101,94,第九章 静电场,微专题16 求解电场强度的几种特殊方法,必修第三册,第九章 静电场及其应用,第九章 静电场 / 微专题16 求解电场强度的几种特殊方法
PHYSICS,0102,95,第九章 静电场,微专题16（续） / 割补法、等效法,必修第三册,第九章 静电场及其应用,第九章 静电场 / 微专题16（续）/ 割补法、等效法
PHYSICS,0103,96,第九章 静电场,微专题16（续） / 微元法、极限法,必修第三册,第九章 静电场及其应用,第九章 静电场 / 微专题16（续）/ 微元法、极限法
PHYSICS,0104,97,第九章 静电场,第2节 静电场中能的性质 / 考点1 描述静电场中能的性质的物理量,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第2节 静电场中能的性质 / 考点1 描述静电场中能的性质的物理量
PHYSICS,0105,98,第九章 静电场,第2节（续） / 电势高低的判断、考点2 电势差与电场强度的关系、考点3 等势面,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第2节（续）/ 电势高低的判断、考点2 电势差与电场强度的关系、考点3 等势面
PHYSICS,0106,99,第九章 静电场,第2节（续） / 等量点电荷的等势面、带电粒子轨迹分析、考点4 静电的防止与利用,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第2节（续）/ 等量点电荷的等势面、带电粒子轨迹分析、考点4 静电的防止与利用
PHYSICS,0107,100,第九章 静电场,微专题17 静电场中的功能关系及图像问题,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题17 静电场中的功能关系及图像问题
PHYSICS,0108,101,第九章 静电场,微专题17（续） / $E$-$x$ 图像、$E_p$-$x$ 图像,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题17（续）/ $E$-$x$ 图像、$E_p$-$x$ 图像
PHYSICS,0109,102,第九章 静电场,第3节 电容器 带电粒子在电场中的运动 / 考点1 电容器 平行板电容器的动态分析,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第3节 电容器 带电粒子在电场中的运动 / 考点1 电容器 平行板电容器的动态分析
PHYSICS,0110,103,第九章 静电场,第3节（续） / 考点2 带电粒子在电场中的直线运动、考点3 曲线运动,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第3节（续）/ 考点2 带电粒子在电场中的直线运动、考点3 曲线运动
PHYSICS,0111,104,第九章 静电场,第3节（续） / 功能关系与偏转位移计算,必修第三册,第十章 静电场中的能量,第九章 静电场 / 第3节（续）/ 功能关系与偏转位移计算
PHYSICS,0112,105,第九章 静电场,微专题18 带电粒子在电场中的力电综合问题,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题18 带电粒子在电场中的力电综合问题
PHYSICS,0113,106,第九章 静电场,微专题18（续） / 题型2 电场中的力电综合问题,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题18（续）/ 题型2 电场中的力电综合问题
PHYSICS,0114,107,第九章 静电场,微专题19 带电粒子在交变电场中的运动,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题19 带电粒子在交变电场中的运动
PHYSICS,0115,108,第九章 静电场,微专题19（续） / 规律总结,必修第三册,第十章 静电场中的能量,第九章 静电场 / 微专题19（续）/ 规律总结
PHYSICS,0116,109,第九章 静电场,实验10 观察电容器的充、放电现象,必修第三册,第十章 静电场中的能量（实验：观察电容器的充、放电现象）,第九章 静电场 / 实验10 观察电容器的充、放电现象
PHYSICS,0117,110,第十章 电路及其应用,第1节 电路的基本概念及规律 / 考点1 电流的概念及表达式,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 第1节 电路的基本概念及规律 / 考点1 电流的概念及表达式
PHYSICS,0118,111,第十章 电路及其应用,第1节（续） / 考点3 串联电路和并联电路 电表改装原理,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 第1节（续）/ 考点3 串联电路和并联电路 电表改装原理
PHYSICS,0119,112,第十章 电路及其应用,第1节（续） / 考点4 电功、电功率、电热、热功率,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 第1节（续）/ 考点4 电功、电功率、电热、热功率
PHYSICS,0120,113,第十章 电路及其应用,第2节 闭合电路欧姆定律及其应用 / 考点1 闭合电路欧姆定律,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 第2节 闭合电路欧姆定律及其应用 / 考点1 闭合电路欧姆定律
PHYSICS,0121,114,第十章 电路及其应用,第2节（续） / 等效电源、考点3 两类 $U$-$I$ 图像,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 第2节（续）/ 等效电源、考点3 两类 $U$-$I$ 图像
PHYSICS,0122,115,第十章 电路及其应用,微专题20 电路的动态分析和故障判断,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 微专题20 电路的动态分析和故障判断
PHYSICS,0123,116,第十章 电路及其应用,微专题20（续） / 题型2 电路的故障判断,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 微专题20（续）/ 题型2 电路的故障判断
PHYSICS,0124,117,第十章 电路及其应用,第3节 电学实验基础,必修第三册,第十一章 电路及其应用（实验基础）,第十章 电路及其应用 / 第3节 电学实验基础
PHYSICS,0125,118,第十章 电路及其应用,第3节（续） / 电学实验设计三原则、实验11 导体电阻率的测量,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 第3节（续）/ 电学实验设计三原则、实验11 导体电阻率的测量
PHYSICS,0126,119,第十章 电路及其应用,实验11（续）、实验12 测量电阻的几种方法,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 实验11（续）、实验12 测量电阻的几种方法
PHYSICS,0127,120,第十章 电路及其应用,实验12（续） / 差值法、半偏法,必修第三册,第十一章 电路及其应用,第十章 电路及其应用 / 实验12（续）/ 差值法、半偏法
PHYSICS,0128,121,第十章 电路及其应用,实验12（续）电桥法、实验13 测量电源电动势和内阻,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 实验12（续）电桥法、实验13 测量电源电动势和内阻
PHYSICS,0129,122,第十章 电路及其应用,实验13（续） / 拓展方案：安阻法、伏阻法,必修第三册,第十二章 电能 能量守恒定律,第十章 电路及其应用 / 实验13（续）/ 拓展方案：安阻法、伏阻法
PHYSICS,0130,123,第十章 电路及其应用,实验14 用多用电表测量电学中的物理量,必修第三册,第十一章 电路及其应用（实验：练习使用多用电表）,第十章 电路及其应用 / 实验14 用多用电表测量电学中的物理量
PHYSICS,0131,124,第十一章 磁场,第1节 磁场及其对电流的作用 / 考点1 电流的磁场 磁场的叠加,必修第三册,第十三章 电磁感应与电磁波初步,第十一章 磁场 / 第1节 磁场及其对电流的作用 / 考点1 电流的磁场 磁场的叠加
PHYSICS,0132,125,第十一章 磁场,第1节（续） / 考点2 安培力的分析与计算,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 第1节（续）/ 考点2 安培力的分析与计算
PHYSICS,0133,126,第十一章 磁场,第1节（续） / 考点3 安培力作用下的平衡和加速问题,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 第1节（续）/ 考点3 安培力作用下的平衡和加速问题
PHYSICS,0134,127,第十一章 磁场,第2节 磁场对运动电荷（带电体）的作用 / 考点1 洛伦兹力,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 第2节 磁场对运动电荷（带电体）的作用 / 考点1 洛伦兹力
PHYSICS,0135,128,第十一章 磁场,第2节（续） / 考点3 带电粒子在匀强磁场中的运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 第2节（续）/ 考点3 带电粒子在匀强磁场中的运动
PHYSICS,0136,129,第十一章 磁场,第2节（续） / 方法提升：匀速圆周运动问题的解题思路,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 第2节（续）/ 方法提升：匀速圆周运动问题的解题思路
PHYSICS,0137,130,第十一章 磁场,微专题21 带电粒子在有界匀强磁场中的运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题21 带电粒子在有界匀强磁场中的运动
PHYSICS,0138,131,第十一章 磁场,微专题21（续） / 题型2 带电粒子在有界匀强磁场中运动的多解问题,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题21（续）/ 题型2 带电粒子在有界匀强磁场中运动的多解问题
PHYSICS,0139,132,第十一章 磁场,微专题22 磁场中的动态圆模型,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题22 磁场中的动态圆模型
PHYSICS,0140,133,第十一章 磁场,微专题22（续） / 临界极值结论、题型2 磁聚焦和磁发散模型,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题22（续）/ 临界极值结论、题型2 磁聚焦和磁发散模型
PHYSICS,0141,134,第十一章 磁场,微专题23 洛伦兹力与现代科技,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题23 洛伦兹力与现代科技
PHYSICS,0142,135,第十一章 磁场,微专题23（续） / 题型2 回旋加速器、题型3 质谱仪,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题23（续）/ 题型2 回旋加速器、题型3 质谱仪
PHYSICS,0143,136,第十一章 磁场,微专题24 带电粒子在组合场中的运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题24 带电粒子在组合场中的运动
PHYSICS,0144,137,第十一章 磁场,微专题24（续） / 题型3 应用正则动量解决组合场问题,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题24（续）/ 题型3 应用正则动量解决组合场问题
PHYSICS,0145,138,第十一章 磁场,微专题25 带电粒子在叠加场中的运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题25 带电粒子在叠加场中的运动
PHYSICS,0146,139,第十一章 磁场,微专题25（续） / 方法提升：配速法,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题25（续）/ 方法提升：配速法
PHYSICS,0147,140,第十一章 磁场,微专题26 带电粒子在交变电磁场、空间电磁场中的运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题26 带电粒子在交变电磁场、空间电磁场中的运动
PHYSICS,0148,141,第十一章 磁场,微专题26（续） / 题型2 带电粒子在空间电磁场中的等距螺旋线运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题26（续）/ 题型2 带电粒子在空间电磁场中的等距螺旋线运动
PHYSICS,0149,142,第十一章 磁场,微专题26（续） / 题型3 带电粒子在空间电磁场中偏转运动,选择性必修第二册,第一章 安培力与洛伦兹力,第十一章 磁场 / 微专题26（续）/ 题型3 带电粒子在空间电磁场中偏转运动
PHYSICS,0150,143,第十二章 电磁感应,第1节 电磁感应现象 楞次定律 实验：探究影响感应电流方向的因素,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 第1节 电磁感应现象 楞次定律 实验：探究影响感应电流方向的因素
PHYSICS,0151,144,第十二章 电磁感应,第1节（续） / 三定则一定律辨析、考点3 实验,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 第1节（续）/ 三定则一定律辨析、考点3 实验
PHYSICS,0152,145,第十二章 电磁感应,第2节 法拉第电磁感应定律 自感和涡流 / 考点1、考点2,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 第2节 法拉第电磁感应定律 自感和涡流 / 考点1、考点2
PHYSICS,0153,146,第十二章 电磁感应,第2节（续） / 考点3 自感现象,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 第2节（续）/ 考点3 自感现象
PHYSICS,0154,147,第十二章 电磁感应,第2节（续） / 自感判断技巧、考点4 涡流 电磁阻尼和电磁驱动,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 第2节（续）/ 自感判断技巧、考点4 涡流 电磁阻尼和电磁驱动
PHYSICS,0155,148,第十二章 电磁感应,微专题27 电磁感应中的电路和图像问题 / 题型1 电路问题,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题27 电磁感应中的电路和图像问题 / 题型1 电路问题
PHYSICS,0156,149,第十二章 电磁感应,微专题27（续） / 题型2 电磁感应中的图像问题,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题27（续）/ 题型2 电磁感应中的图像问题
PHYSICS,0157,150,第十二章 电磁感应,微专题28 基础单杆模型 / 题型1 具有初速度的单杆模型,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题28 基础单杆模型 / 题型1 具有初速度的单杆模型
PHYSICS,0158,151,第十二章 电磁感应,微专题28（续） / 题型2 受恒定外力的单杆模型,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题28（续）/ 题型2 受恒定外力的单杆模型
PHYSICS,0159,152,第十二章 电磁感应,微专题28（续） / 三大力学观点选用原则,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题28（续）/ 三大力学观点选用原则
PHYSICS,0160,153,第十二章 电磁感应,微专题29 含容含源单杆模型 / 题型1 单杆电源模型,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题29 含容含源单杆模型 / 题型1 单杆电源模型
PHYSICS,0161,154,第十二章 电磁感应,微专题29（续） / 题型2 单杆电容模型,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题29（续）/ 题型2 单杆电容模型
PHYSICS,0162,155,第十二章 电磁感应,微专题30 双杆模型 / 题型1 初始状态有初速度无外力,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题30 双杆模型 / 题型1 初始状态有初速度无外力
PHYSICS,0163,156,第十二章 电磁感应,微专题30（续） / 题型2 初始状态有外力无初速度,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题30（续）/ 题型2 初始状态有外力无初速度
PHYSICS,0164,157,第十二章 电磁感应,微专题31 线框模型,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题31 线框模型
PHYSICS,0165,158,第十二章 电磁感应,微专题31（续） / 线框模型的注意事项与解题导引,选择性必修第二册,第二章 电磁感应,第十二章 电磁感应 / 微专题31（续）/ 线框模型的注意事项与解题导引
PHYSICS,0166,159,第十三章 交变电流 电磁波,第1节 交变电流的产生与描述,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 第1节 交变电流的产生与描述
PHYSICS,0167,160,第十三章 交变电流 电磁波,第1节（续） / 非常规交变电流有效值的计算,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 第1节（续）/ 非常规交变电流有效值的计算
PHYSICS,0168,161,第十三章 交变电流 电磁波,第2节 变压器 远距离输电 / 考点1 实验,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 第2节 变压器 远距离输电 / 考点1 实验
PHYSICS,0169,162,第十三章 交变电流 电磁波,第2节（续） / 考点3 远距离高压输电,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 第2节（续）/ 考点3 远距离高压输电
PHYSICS,0170,163,第十三章 交变电流 电磁波,微专题32 含变压器电路的动态分析,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 微专题32 含变压器电路的动态分析
PHYSICS,0171,164,第十三章 交变电流 电磁波,微专题32（续） / 等效电阻法与等效电源法,选择性必修第二册,第三章 交变电流,第十三章 交变电流 电磁波 / 微专题32（续）/ 等效电阻法与等效电源法
PHYSICS,0172,165,第十三章 交变电流 电磁波,第3节 电磁振荡与电磁波,选择性必修第二册,第四章 电磁振荡与电磁波,第十三章 交变电流 电磁波 / 第3节 电磁振荡与电磁波
PHYSICS,0173,166,第十四章 光,第1节 光的折射 全反射,选择性必修第一册,第四章 光,第十四章 光 / 第1节 光的折射 全反射
PHYSICS,0174,167,第十四章 光,第1节（续） / 考点2 全反射,选择性必修第一册,第四章 光,第十四章 光 / 第1节（续）/ 考点2 全反射
PHYSICS,0175,168,第十四章 光,第2节 光的波动性 / 考点1 光的干涉现象,选择性必修第一册,第四章 光,第十四章 光 / 第2节 光的波动性 / 考点1 光的干涉现象
PHYSICS,0176,169,第十四章 光,第2节（续） / 斜劈薄膜干涉、考点2 光的衍射和偏振,选择性必修第一册,第四章 光,第十四章 光 / 第2节（续）/ 斜劈薄膜干涉、考点2 光的衍射和偏振
PHYSICS,0177,170,第十四章 光,实验15 测量玻璃的折射率,选择性必修第一册,第四章 光（实验：测量玻璃的折射率）,第十四章 光 / 实验15 测量玻璃的折射率
PHYSICS,0178,171,第十四章 光,实验16 用双缝干涉测量光的波长,选择性必修第一册,第四章 光（实验：用双缝干涉测量光的波长）,第十四章 光 / 实验16 用双缝干涉测量光的波长
PHYSICS,0179,172,第十五章 热学,第1节 分子动理论 内能 固体和液体,选择性必修第三册,第一章 分子动理论,第十五章 热学 / 第1节 分子动理论 内能 固体和液体
PHYSICS,0180,173,第十五章 热学,第1节（续） / 分子力与分子势能、分子动能与内能,选择性必修第三册,第一章 分子动理论,第十五章 热学 / 第1节（续）/ 分子力与分子势能、分子动能与内能
PHYSICS,0181,174,第十五章 热学,第1节（续） / 考点2 固体和液体性质的理解,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 第1节（续）/ 考点2 固体和液体性质的理解
PHYSICS,0182,175,第十五章 热学,第2节 气体的性质,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 第2节 气体的性质
PHYSICS,0183,176,第十五章 热学,第2节（续） / 考点3 气体状态变化的图像问题,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 第2节（续）/ 考点3 气体状态变化的图像问题
PHYSICS,0184,177,第十五章 热学,微专题33 玻璃管-液柱模型,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 微专题33 玻璃管-液柱模型
PHYSICS,0185,178,第十五章 热学,微专题33（续） / 封闭气体压强的求法,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 微专题33（续）/ 封闭气体压强的求法
PHYSICS,0186,179,第十五章 热学,微专题34 活塞-汽缸模型,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 微专题34 活塞-汽缸模型
PHYSICS,0187,180,第十五章 热学,微专题34（续） / 单缸双塞、单缸双塞+弹簧、关联气体,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 微专题34（续）/ 单缸双塞、单缸双塞+弹簧、关联气体
PHYSICS,0188,181,第十五章 热学,微专题35 气体变质量问题,选择性必修第三册,第二章 气体、固体和液体,第十五章 热学 / 微专题35 气体变质量问题
PHYSICS,0189,182,热学 章（本章章号本页未印刷；上承 PDF p0188「微专题35 气体变质量问题」，下接 PDF p0190「第3节 热力学定律与能量守恒定律」）,微专题35 气体变质量问题 / 考点：气体变质量问题（打气、抽气、液封气体压强综合）,选择性必修第三册,第二章 气体、固体和液体（气体实验定律在变质量问题中的应用）,热学 章（本章章号本页未印刷；上承 PDF p0188「微专题35 气体变质量问题」，下接 PDF p0190「第3节 热力学定律与能量守恒定律」） / 微专题35 气体变质量问题 / 考点：气体变质量问题（打气、抽气、液封气体压强综合）
PHYSICS,0190,183,第十五章 热学,第3节 热力学定律与能量守恒定律,选择性必修第三册,第三章 热力学定律,第十五章 热学 / 第3节 热力学定律与能量守恒定律
PHYSICS,0191,184,第十五章 热学,第3节（续） / 考点3 热力学第一定律与气体实验定律的综合应用,选择性必修第三册,第三章 热力学定律,第十五章 热学 / 第3节（续）/ 考点3 热力学第一定律与气体实验定律的综合应用
PHYSICS,0192,185,第十五章 热学,实验17 用油膜法估测油酸分子的大小、实验18 探究等温情况下气体压强与体积的关系,选择性必修第三册 第一章、,第二章（实验）,第十五章 热学 / 实验17 用油膜法估测油酸分子的大小、实验18 探究等温情况下气体压强与体积的关系
PHYSICS,0193,186,第十六章 近代物理初步,第1节 光电效应,选择性必修第三册,第四章 原子结构和波粒二象性,第十六章 近代物理初步 / 第1节 光电效应
