material_slug,point_slug,subject,reason
bio-mo-heredity-005,分离定律,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「分离定律」互为整名包含，改指
bio-mo-heredity-006,基因,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-heredity-011,基因,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-heredity-015,基因,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-heredity-020,自由组合定律,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「自由组合定律」互为整名包含，改指
bio-mo-heredity-021,自由组合定律,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「自由组合定律」互为整名包含，改指
bio-mo-heredity-024,基因,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-heredity-026,基因,BIOLOGY,原绑「孟德尔的豌豆杂交实验过程分析」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-gene-010,四分体,BIOLOGY,原绑「减数分裂细胞中染色体、DNA数量变化规律★★★☆☆」与标题零字面重合；标题与「四分体」互为整名包含，改指
bio-mo-gene-027,伴性遗传,BIOLOGY,原绑「基因位于染色体上的实验证据★★★☆☆」与标题零字面重合；标题与「伴性遗传」互为整名包含，改指
bio-mo-nerve-012,反射,BIOLOGY,原绑「神经调节的基本方式★★★☆☆」与标题零字面重合；标题与「反射」互为整名包含，改指
bio-mo-nerve-014,反射,BIOLOGY,原绑「神经调节的基本方式★★★☆☆」与标题零字面重合；标题与「反射」互为整名包含，改指
bio-mo-nerve-017,反射,BIOLOGY,原绑「神经调节的基本方式★★★☆☆」与标题零字面重合；标题与「反射」互为整名包含，改指
bio-mo-nerve-021,神经递质,BIOLOGY,原绑「兴奋的产生和传导★★★☆☆」与标题零字面重合；标题与「神经递质」互为整名包含，改指
bio-mo-nerve-028,突触,BIOLOGY,原绑「兴奋的产生和传导★★★☆☆」与标题零字面重合；标题与「突触」互为整名包含，改指
bio-mo-nerve-029,神经递质,BIOLOGY,原绑「兴奋的产生和传导★★★☆☆」与标题零字面重合；标题与「神经递质」互为整名包含，改指
bio-mo-nerve-037,神经递质,BIOLOGY,原绑「人脑的高级功能★★★☆☆」与标题零字面重合；标题与「神经递质」互为整名包含，改指
bio-mo-cell-018,蛋白质,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-021,蛋白质,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-027,水,BIOLOGY,原绑「细胞中的无机盐」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-033,水,BIOLOGY,原绑「细胞中的无机盐」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-037,脂质,BIOLOGY,原绑「细胞中的糖类」与标题零字面重合；标题与「脂质」互为整名包含，改指
bio-mo-cell-049,蛋白质,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-052,蛋白质,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-054,胰岛素,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「胰岛素」互为整名包含，改指
bio-mo-cell-055,氨基酸,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「氨基酸」互为整名包含，改指
bio-mo-cell-056,氨基酸,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「氨基酸」互为整名包含，改指
bio-mo-cell-058,脱水缩合,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「脱水缩合」互为整名包含，改指
bio-mo-cell-059,核酸,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「核酸」互为整名包含，改指
bio-mo-cell-064,核酸,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「核酸」互为整名包含，改指
bio-mo-cell-067,核苷酸,BIOLOGY,原绑「组成细胞的元素」与标题零字面重合；标题与「核苷酸」互为整名包含，改指
bio-mo-cell-engineering-006,单倍体,BIOLOGY,原绑「成熟植物细胞的吸水和失水★★☆☆☆」与标题零字面重合；标题与「单倍体」互为整名包含，改指
bio-mo-community-018,生态位,BIOLOGY,原绑「群落的主要类型及群落的演替★★★☆☆」与标题零字面重合；标题与「生态位」互为整名包含，改指
bio-mo-hormone-005,激素,BIOLOGY,原绑「内分泌系统」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-hormone-006,激素,BIOLOGY,原绑「内分泌系统」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-hormone-012,激素,BIOLOGY,原绑「体液调节和神经调节的区别与联系★★★☆☆」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-hormone-014,胰岛素,BIOLOGY,原绑「体液调节和神经调节的区别与联系★★★☆☆」与标题零字面重合；标题与「胰岛素」互为整名包含，改指
bio-mo-hormone-019,激素,BIOLOGY,原绑「体液调节和神经调节的区别与联系★★★☆☆」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-nerve-044,激素,BIOLOGY,原绑「体液调节和神经调节的区别与联系★★★☆☆」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-genetic-engineering-004,dna连接酶,BIOLOGY,原绑「转基因生物的安全性」与标题零字面重合；标题与「DNA连接酶」互为整名包含，改指
bio-mo-genetic-engineering-006,载体,BIOLOGY,原绑「转基因生物的安全性」与标题零字面重合；标题与「载体」互为整名包含，改指
bio-mo-genetic-engineering-022,密码子,BIOLOGY,原绑「转基因生物的安全性」与标题零字面重合；标题与「密码子」互为整名包含，改指
bio-mo-genetic-engineering-026,蛋白质工程,BIOLOGY,原绑「转基因生物的安全性」与标题零字面重合；标题与「蛋白质工程」互为整名包含，改指
bio-mo-genetic-engineering-028,蛋白质工程,BIOLOGY,原绑「转基因生物的安全性」与标题零字面重合；标题与「蛋白质工程」互为整名包含，改指
bio-mo-gene-043,蛋白质,BIOLOGY,原绑「DNA是主要的遗传物质★★★☆☆」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-gene-048,基因突变,BIOLOGY,原绑「DNA是主要的遗传物质★★★☆☆」与标题零字面重合；标题与「基因突变」互为整名包含，改指
bio-mo-gene-057,dna的复制,BIOLOGY,原绑「基因的本质★★★☆☆」与标题零字面重合；标题与「DNA的复制」互为整名包含，改指
bio-mo-gene-063,核苷酸,BIOLOGY,原绑「基因的本质★★★☆☆」与标题零字面重合；标题与「核苷酸」互为整名包含，改指
bio-mo-ecosystem-004,营养级,BIOLOGY,原绑「生态系统的结构」与标题零字面重合；标题与「营养级」互为整名包含，改指
bio-mo-ecosystem-006,生产者,BIOLOGY,原绑「生态系统的结构」与标题零字面重合；标题与「生产者」互为整名包含，改指
bio-mo-ecosystem-008,能量流动,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「能量流动」互为整名包含，改指
bio-mo-ecosystem-012,同化量,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「同化量」互为整名包含，改指
bio-mo-ecosystem-013,同化量,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「同化量」互为整名包含，改指
bio-mo-ecosystem-014,能量传递效率,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「能量传递效率」互为整名包含，改指
bio-mo-ecosystem-015,营养级,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「营养级」互为整名包含，改指
bio-mo-ecosystem-016,能量传递效率,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「能量传递效率」互为整名包含，改指
bio-mo-ecosystem-018,物质循环,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「物质循环」互为整名包含，改指
bio-mo-ecosystem-020,物质循环,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「物质循环」互为整名包含，改指
bio-mo-ecosystem-022,生物群落,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「生物群落」互为整名包含，改指
bio-mo-ecosystem-026,信息传递,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「信息传递」互为整名包含，改指
bio-mo-ecosystem-029,信息传递,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「信息传递」互为整名包含，改指
bio-mo-ecosystem-041,反馈调节,BIOLOGY,原绑「生态系统的稳定性」与标题零字面重合；标题与「反馈调节」互为整名包含，改指
bio-mo-cell-070,蛋白质,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-075,水,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-076,脂质,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「脂质」互为整名包含，改指
bio-mo-cell-079,蛋白质,BIOLOGY,原绑「细胞膜的结构和功能★★★☆☆」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-085,线粒体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「线粒体」互为整名包含，改指
bio-mo-cell-093,叶绿体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-mo-cell-095,溶酶体,BIOLOGY,原绑「细胞器的结构和功能★★★☆☆」与标题零字面重合；标题与「溶酶体」互为整名包含，改指
bio-mo-cell-108,核糖体,BIOLOGY,原绑「细胞核的结构和功能★★★☆☆」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-mo-immunity-005,抗体,BIOLOGY,原绑「免疫系统的组成和功能★★★☆☆」与标题零字面重合；标题与「抗体」互为整名包含，改指
bio-mo-immunity-006,抗体,BIOLOGY,原绑「免疫系统的组成和功能★★★☆☆」与标题零字面重合；标题与「抗体」互为整名包含，改指
bio-mo-immunity-021,抗原,BIOLOGY,原绑「免疫失调」与标题零字面重合；标题与「抗原」互为整名包含，改指
bio-mo-immunity-026,疫苗,BIOLOGY,原绑「免疫学的应用★★★☆☆」与标题零字面重合；标题与「疫苗」互为整名包含，改指
bio-mo-immunity-030,疫苗,BIOLOGY,原绑「免疫学的应用★★★☆☆」与标题零字面重合；标题与「疫苗」互为整名包含，改指
bio-mo-immunity-034,疫苗,BIOLOGY,原绑「免疫学的应用★★★☆☆」与标题零字面重合；标题与「疫苗」互为整名包含，改指
bio-mo-gene-072,核糖体,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-mo-gene-075,中心法则,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「中心法则」互为整名包含，改指
bio-mo-gene-076,细胞核,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「细胞核」互为整名包含，改指
bio-mo-gene-077,转录,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「转录」互为整名包含，改指
bio-mo-gene-078,核糖体,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「核糖体」互为整名包含，改指
bio-mo-gene-081,密码子,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「密码子」互为整名包含，改指
bio-mo-gene-083,中心法则,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「中心法则」互为整名包含，改指
bio-mo-gene-087,转录,BIOLOGY,原绑「基因的表达」与标题零字面重合；标题与「转录」互为整名包含，改指
bio-mo-cell-111,水,BIOLOGY,原绑「被动运输」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-112,水,BIOLOGY,原绑「被动运输」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-114,蛋白质,BIOLOGY,原绑「被动运输」与标题零字面重合；标题与「蛋白质」互为整名包含，改指
bio-mo-cell-120,胞吞,BIOLOGY,原绑「主动运输」与标题零字面重合；标题与「胞吞」互为整名包含，改指
bio-mo-cell-124,水,BIOLOGY,原绑「主动运输」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-gene-122,多倍体,BIOLOGY,原绑「染色体变异」与标题零字面重合；标题与「多倍体」互为整名包含，改指
bio-mo-gene-127,单倍体,BIOLOGY,原绑「染色体变异」与标题零字面重合；标题与「单倍体」互为整名包含，改指
bio-mo-gene-130,单倍体,BIOLOGY,原绑「染色体变异」与标题零字面重合；标题与「单倍体」互为整名包含，改指
bio-mo-gene-131,单倍体,BIOLOGY,原绑「染色体变异」与标题零字面重合；标题与「单倍体」互为整名包含，改指
bio-mo-gene-138,基因,BIOLOGY,原绑「人类遗传病★★★☆☆」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-gene-143,基因,BIOLOGY,原绑「人类遗传病★★★☆☆」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-plant-hormone-005,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-plant-hormone-006,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-plant-hormone-008,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-plant-hormone-009,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-plant-hormone-015,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-plant-hormone-016,生长素,BIOLOGY,原绑「探究动植物生命活动调节实验的思路与方法★★★☆☆」与标题零字面重合；标题与「生长素」互为整名包含，改指
bio-mo-cell-161,水,BIOLOGY,原绑「ATP的合成和利用」与标题零字面重合；标题与「水」互为整名包含，改指
bio-mo-cell-179,色素,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「色素」互为整名包含，改指
bio-mo-cell-180,叶绿体,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「叶绿体」互为整名包含，改指
bio-mo-cell-187,光反应,BIOLOGY,原绑「光合作用与细胞呼吸过程、物质和能量的关系★★★☆☆」与标题零字面重合；标题与「光反应」互为整名包含，改指
bio-mo-evolution-007,自然选择,BIOLOGY,原绑「协同进化与生物多样性的形成★★★☆☆」与标题零字面重合；标题与「自然选择」互为整名包含，改指
bio-mo-evolution-019,基因,BIOLOGY,原绑「协同进化与生物多样性的形成★★★☆☆」与标题零字面重合；标题与「基因」互为整名包含，改指
bio-mo-evolution-021,基因频率,BIOLOGY,原绑「协同进化与生物多样性的形成★★★☆☆」与标题零字面重合；标题与「基因频率」互为整名包含，改指
bio-mo-evolution-023,自然选择,BIOLOGY,原绑「协同进化与生物多样性的形成★★★☆☆」与标题零字面重合；标题与「自然选择」互为整名包含，改指
bio-mo-evolution-024,自然选择,BIOLOGY,原绑「协同进化与生物多样性的形成★★★☆☆」与标题零字面重合；标题与「自然选择」互为整名包含，改指
bio-mo-cell-237,激素,BIOLOGY,原绑「细胞中的糖类」与标题零字面重合；标题与「激素」互为整名包含，改指
bio-mo-segregation-law-008,基因,BIOLOGY,原绑「分离定律」与标题零字面重合；标题与「基因」互为整名包含，改指
phys-mo-l31-mechanical-wave-n,机械波-x1,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-iron3-detection,fe2-fe3-的检验方法,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-kb-feoh2-preparation-methods,fe-oh-2的制备,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-kb-chemical-bond-definition-types,化学键,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-na-lizishumu-yaodian,阿伏加德罗常数,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-hunhe-rongye-ph-jisuan,溶液ph的计算,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-so2-zhibei-fangfa,二氧化硫,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-zifa-guocheng-zifafanying,自发反应,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-rongjie-quxian-c-c-tu,沉淀溶解平衡,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-chendian-diding-quxian,沉淀溶解平衡,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-tanzu-yuansu-danzhi,同素异形体,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-lizi-huahewu-huaxueshi-hanyi,离子化合物,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-tongfenyigou-leixing-quan,同分异构体,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj2-gaisi-dinglv-qiu-fanre,盖斯定律-x1,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj2-dengxiao-pingheng-silei,等效平衡,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-fu-za-fen-zi-shi-de-tong-fen-yi-gou-ti-f03x08,同分异构体,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-liang-qu-yi-ding-liang-de-nong-liu-sua-f05x08,浓硫酸,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-an-qi-yu-er-yang-hua-dan-de-fan-ying-f27x09,二氧化氮,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-pan-duan-yuan-su-de-hua-he-jia-f30x03,化合价,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-fei-jin-shu-xing-f30x04,元素非金属性强弱的判断,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-jing-bao-can-shu-f35x03,晶胞,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-shi-yong-hua-xue-ping-heng-chang-shu-y-f43x06,化学平衡常数,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-chen-dian-rong-jie-ping-heng-yi-dong-z-f55x01,沉淀溶解平衡,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-mo-na-ti-sanbu-shenfa,阿伏加德罗常数,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
math-hj-pailie-gainian-shu,排列,MATH,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
math-hj-zuhe-gainian-shu,组合,MATH,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-kb-liquid-crystal-property,液晶,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj-038-overweight-phenomenon,超重,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj-039-weightlessness-phenomenon,失重,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj-040-complete-weightlessness,失重,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj-066-particle-model,质点,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj-195-geomagnetic-field,磁场,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-hj3-gravity-center-facts,重力,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-mo-l01-motion-description-b,质点,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
phys-mo-l25-momentum-consv-b-4,反冲运动,PHYSICS,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-distillation-operation-points,蒸馏,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-hj-hanbian-gainian,焓变,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-qi-ta-chang-jian-tie-yan-f16x05,铁盐,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-zheng-fa-jie-jing-f56x06,蒸发,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-jian-ya-zheng-liu-f71x05,蒸馏,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-pu-tong-bo-li-f73x11,玻璃,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-cui-qu-yu-fan-cui-qu-f74x10,萃取,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
chem-fx-ye-ye-cui-qu-f74x11,萃取,CHEMISTRY,原无绑定；标题与节点名归一化后互为整名包含且唯一，已复核
math-am-gm-1-substitution,利用基本不等式求最值,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-period-basic-shift-equality,函数的周期性,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-inverse-construct-add-subtract,导数构造法解函数不等式,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-binomial-odd-even-coefficient-sum,二项式定理,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-expansion-odd-even-coefficient-f1-f-1,二项式定理,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-expansion-coefficient-max-absolute-compare,二项式定理,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-binomial-coefficients-monotonic-symmetric,二项式定理,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-kb-common-number-sets-notation,,MATH,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
math-kb-unit-substitution-method,利用基本不等式求最值,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-kb-section-drawing-methods,空间几何体中的截面问题,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-jufafa-shiyong-guize,列举观察法-列出几何中的全部元素-通过定义得出集合间关系,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-changjian-shuji-jihao,,MATH,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
math-hj-demogan-lv,集合运算中的常用二级结论,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s11-rep-element-dist,对集合表示方法的理解偏差致错,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s11-demorgan,集合运算中的常用二级结论,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s14-sub-1,利用基本不等式求最值,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s72-sphere-cube,求解几何体外接球的半径的思路,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s81-slope-angle,直线的方程,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s81-line-methods,直线的方程,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-hj-s92-variance,,MATH,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
math-fx-xiangliang-jiujian-faze,平面向量的线性运算,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-yuan-biaozhun-yiban-fangcheng,圆的方程,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-erci-qiudao-sibu-fa,导数法求函数单调区间的步骤,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-qiexian-dian-xuanze-yuanze,放缩法,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-shulue-budengshi-sanluxian,证明不等式,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-tonggou-quwaiyi-bijiao,构造函数-运用函数的单调性比较,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
math-fx-yuan-yu-yuan-gongqie-qiucan,两曲线的公切线问题,MATH,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-v2-x-xielv-jie-ju,非常规运动学图像,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-x-bi-t-xielv-jie-ju,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-x-bi-t2-1-t-xielv-jie-ju,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-zhengjiao-fenjiefa-shi-yong,核心特点,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-sanli-shi-liang-sanjiaoxing-fa,相似三角形-动态三角形-拉密定理等方法解决临界极值问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-shuang-waili-jiao-cha-fen-pei,连接体问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-kuai-waili-liang-ge-lin-jie,板块模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-ban-waili-liang-ge-lin-jie,板块模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-f-qidong-san-jie-duan,板块模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-v-qidong-mu-ban-shi-fou-bei-dai-dong,板块模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-pingpao-ju-xie-mian-zui-yuan,平抛运动,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-ball-spring-conservation,滑块-小球-弹簧模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-wave-multiplicity-bidirection,解决波的多解问题的思路和步骤,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-fault-check-principle,电路的故障分析,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-critical-angle-formula,条件-①光从光密介质射入光疏介质-②入射角大于或等于临界角,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-kb-x-t-graph-reading,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-kb-v-t-graph-reading,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-kb-a-t-graph-reading,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-kb-boat-crossing-river,运动的合成与分解,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-011-friction-static-to-static,摩擦力的突变类问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-012-friction-static-to-kinetic,摩擦力的突变类问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
