# PHYSICS 节点表（slug | 名字）：1099 个
玻尔原子模型的三条假设 | .玻尔原子模型的三条假设
探究向心力大小与半径角速度质量的关系实验 | 探究向心力大小与半径角速度质量的关系实验
探究向心力大小的实验 | 探究向心力大小的实验
探究向心力影响因素的图像处理与结论 | 探究向心力影响因素的图像处理与结论
探究向心力影响因素的实验过程 | 探究向心力影响因素的实验过程
探究小车速度实验的操作细节 | 探究小车速度实验的操作细节
探究小车速度实验的改进与创新 | 探究小车速度实验的改进与创新
探究小车速度随时间变化的实验 | 探究小车速度随时间变化的实验
探究小车速度随时间变化的规律 | 探究小车速度随时间变化的规律
探究小车速度随时间变化的规律（实验） | 探究小车速度随时间变化的规律（实验）
探究小车速度随时间变化规律的实验原理与步骤 | 探究小车速度随时间变化规律的实验原理与步骤
探究平抛运动特点实验的注意事项 | 探究平抛运动特点实验的注意事项
探究平抛运动特点实验的误差分析 | 探究平抛运动特点实验的误差分析
探究平抛运动特点的实验 | 探究平抛运动特点的实验
探究平抛运动特点的实验原理与器材 | 探究平抛运动特点的实验原理与器材
探究平抛运动特点的实验方案 | 探究平抛运动特点的实验方案
探究平抛运动特点的实验步骤 | 探究平抛运动特点的实验步骤
探究平抛运动的实验创新与误差 | 探究平抛运动的实验创新与误差
探究平抛运动的实验思路与器材 | 探究平抛运动的实验思路与器材
探究平抛运动的实验操作与数据处理 | 探究平抛运动的实验操作与数据处理
探究平抛运动的实验数据处理 | 探究平抛运动的实验数据处理
探究弹簧弹力与形变量关系实验的拓展与创新 | 探究弹簧弹力与形变量关系实验的拓展与创新
探究弹簧弹力与形变量关系的实验 | 探究弹簧弹力与形变量关系的实验
探究弹簧弹力与形变量关系的误差分析与改进 | 探究弹簧弹力与形变量关系的误差分析与改进
探究弹簧弹力与形变量的关系实验 | 探究弹簧弹力与形变量的关系实验
探究影响感应电流方向的因素实验 | 探究影响感应电流方向的因素实验
探究气体等温变化的规律（注射器法） | 探究气体等温变化的规律（注射器法）
探究等温情况下气体压强与体积的关系实验 | 探究等温情况下气体压强与体积的关系实验
探究等温情况气体压强与体积关系的实验要点 | 探究等温情况气体压强与体积关系的实验要点
探究结果-胡克定律-x为形变量 | 探究结果：胡克定律（x为形变量）
控制变量法 | 控制变量法
描述运动的基本概念 | 描述运动的基本概念
插针法测玻璃砖的折射率 | 插针法测玻璃砖的折射率
插针法测量玻璃的折射率 | 插针法测量玻璃的折射率
摆线问题 | 摆线问题
摩擦力 | 摩擦力
摩擦力做功与能量关系分析技巧 | 摩擦力做功与能量关系分析技巧
摩擦力大小的计算方法 | 摩擦力大小的计算方法
摩擦力的常见认识误区 | 摩擦力的常见认识误区
摩擦力的突变类问题 | 摩擦力的突变类问题
放大法 | 放大法
放射性同位素及其应用 | 放射性同位素及其应用
数学思想处理电路中的功率和效率问题 | 数学思想处理电路中的功率和效率问题
数据处理-x1 | 数据处理
整体法与隔离法在受力分析中的应用 | 整体法与隔离法在受力分析中的应用
斜抛运动 | 斜抛运动
斜抛运动的物理量求解-多过程问题 | 斜抛运动的物理量求解——多过程问题
斜面上圆周运动的临界问题 | 斜面上圆周运动的临界问题
斜面上圆周运动的类型与处理 | 斜面上圆周运动的类型与处理
斜面体受地面摩擦力的判断 | 斜面体受地面摩擦力的判断
斜面倾角突变-等效于-n-变 | 斜面倾角突变 (等效于 N 变)：
斜面模型 | 斜面模型
斜面模型的正交分解建系 | 斜面模型的正交分解建系
斜面碰撞临界 | 斜面碰撞临界
新情境问题的求解思路 | 新情境问题的求解思路
无线电波的发射 | 无线电波的发射
时刻-表示某一瞬间-在时间轴上用点表示-是一个状态量 | 时刻
时刻与时间间隔区别与联系 | 时刻与时间间隔区别与联系
星体表面与上空的重力加速度 | 星体表面与上空的重力加速度
星球瓦解与黑洞临界条件 | 星球瓦解与黑洞临界条件
星球的瓦解与黑洞 | 星球的瓦解与黑洞
星球的瓦解问题 | 星球的瓦解问题
普通二极管和发光二极管 | 普通二极管和发光二极管
晶体 | 晶体
曲线运动 | 曲线运动
曲线运动的基本概念与处理思想 | 曲线运动的基本概念与处理思想
运动特征 | 曲线运动的特点
替代法测电阻 | 替代法测电阻
有效值的理解 | 有效值的理解
有效数字与小数位数的保留 | 有效数字与小数位数的保留
有界磁场中圆周运动的几何关系 | 有界磁场中圆周运动的几何关系
有界磁场中的临界与极值问题 | 有界磁场中的临界与极值问题
有界磁场中的典型边界模型 | 有界磁场中的典型边界模型
有界磁场中轨迹半径与偏转角的关系 | 有界磁场中轨迹半径与偏转角的关系
有界磁场中轨迹圆心的确定 | 有界磁场中轨迹圆心的确定
有界磁场中运动时间的确定 | 有界磁场中运动时间的确定
机械振动 | 机械振动
机械振动与机械波知识体系 | 机械振动与机械波知识体系
机械波 | 机械波
机械波的分类 | 机械波的分类
机械能守恒定律 | 机械能守恒定律
机械能守恒定律的三种表达式 | 机械能守恒定律的三种表达式
机械能守恒定律的应用技巧 | 机械能守恒定律的应用技巧
机械能守恒的常见情境分析 | 机械能守恒的常见情境分析
守恒条件 | 机械能守恒的条件
机械能是否守恒的判断方法 | 机械能是否守恒的判断方法
机车启动问题 | 机车启动问题
杨氏双缝干涉 | 杨氏双缝干涉
板块模型 | 板块模型
板块模型中的功和能量的关系 | 板块模型中的功和能量的关系
极限思想 | 极限思想
核力 | 核力
核力的特点 | 核力的特点
核反应 | 核反应
核反应的判断-方程与应用 | 核反应的判断、方程与应用
核心处理思想-运动的合成与分解-约束条件 | 核心处理思想：运动的合成与分解 + 约束条件：
核心处理思想-运动的合成与分解 | 核心处理思想：运动的合成与分解：
核心思想-运动分解 | 核心思想:运动分解
核心思想-运动分解-x1 | 核心思想：运动分解：
核心规律-受力分析-力的合成与分解-共点力的平衡 | 核心规律
核聚变 | 核聚变
核能的计算方法 | 核能的计算方法
核裂变 | 核裂变
椭圆轨道上卫星的速率计算 | 椭圆轨道上卫星的速率计算
楞次定律 | 楞次定律
楞次定律的理解-阻碍-的含义 | 楞次定律的理解：（“阻碍”的含义）
横波 | 横波
欧姆定律 | 欧姆定律
欧姆表的原理与使用 | 欧姆表的原理与使用
欧姆表的原理与刻度 | 欧姆表的原理与刻度
正交分解法 | 正交分解法
正则动量定理的应用 | 正则动量定理的应用
正弦定理与余弦定理的应用 | 正弦定理与余弦定理的应用
正弦式交变电流 | 正弦式交变电流
正弦式交变电流的产生和变化规律 | 正弦式交变电流的产生和变化规律
正弦式交变电流的变化规律-线圈在中性面位置时开始计时 | 正弦式交变电流的变化规律
比例法 | 比例法
比值定义法 | 比值定义法
比值定义法与决定式的区别 | 比值定义法与决定式的区别
比结合能 | 比结合能
比较法 | 比较法
气体-液体-固体和热力学定理 | 气体、液体、固体和热力学定理
气体分子运动的特点 | 气体分子运动的特点
气体压强 | 气体压强
气体实验定律 | 气体实验定律
气体状态变化图像的分析方法 | 气体状态变化图像的分析方法
气体的状态参量 | 气体的状态参量
氢原子光谱的实验规律 | 氢原子光谱的实验规律
氢原子能级跃迁与数学思想的结合 | 氢原子能级跃迁与数学思想的结合
水平转盘上运动物体模型 | 水平转盘上运动物体模型
水平面内圆周运动中的多物体牵连问题 | 水平面内圆周运动中的多物体牵连问题
水平面内圆周运动的临界特征 | 水平面内圆周运动的临界特征
求加速度的两种方法 | 求加速度的两种方法
求变力做功的常用方法 | 求变力做功的常用方法
求电场力做功的方法 | 求电场力做功的方法
求解变力做功的常用方法 | 求解变力做功的常用方法
求解电偏转问题的两种思路 | 求解电偏转问题的两种思路
求解电能的思路-x1 | 求解电能的思路
求解的基本思路 | 求解的基本思路
求解非点电荷电场强度的四种方法 | 求解非点电荷电场强度的四种方法
油膜法估测油酸分子的大小 | 油膜法估测油酸分子的大小
法拉第电磁感应定律 | 法拉第电磁感应定律
波动图象的信息 | 波动图象的信息
波动图象的特点 | 波动图象的特点
波的叠加原理 | 波的叠加原理
波的干涉 | 波的干涉
波的干涉中振动加强点和减弱点的判断方法 | 波的干涉中振动加强点和减弱点的判断方法：
波的衍射 | 波的衍射
波粒二象性 | 波粒二象性
波速 | 波速
波速v-波长λ和频率f-周期t的关系-v-λf | 波速v、波长λ和频率f、周期T的关系
波长 | 波长
波长λ-在波动中振动相位总是相同的两个相邻质点间的距离-用-λ-表示 | 波长λ
洛伦兹力 | 洛伦兹力
洛伦兹力作用下带电体的动态分析 | 洛伦兹力作用下带电体的动态分析
洛伦兹力作用下带电体的运动 | 洛伦兹力作用下带电体的运动
洛伦兹力作用下的带电体运动 | 洛伦兹力作用下的带电体运动
特点-f-b-f-v-即f垂直于b与v决定的平面-f与v始终垂直-洛伦兹力不做功 | 洛伦兹力的特点
洛埃镜 | 洛埃镜
活塞气缸模型 | 活塞气缸模型
活杆与定杆模型 | 活杆与定杆模型
活结与死结模型 | 活结与死结模型
流体模型 | 流体模型
测周期-测n次-约50次-全振动的总时间 | 测周期：测N次（约50次）全振动的总时间，。
测电阻方法体系与选择 | 测电阻方法体系与选择
测电阻率实验的改进方向 | 测电阻率实验的改进方向
测电阻的创新方案 | 测电阻的创新方案
测速度与加速度的实验拓展创新 | 测速度与加速度的实验拓展创新
测速度的常用方法 | 测速度的常用方法
测量加速度的改进方法 | 测量加速度的改进方法
测量动摩擦因数的实验方法 | 测量动摩擦因数的实验方法
测量导体电阻率的实验操作要领 | 测量导体电阻率的实验操作要领
测量玻璃的折射率实验 | 测量玻璃的折射率实验
测量电源电动势和内阻的实验 | 测量电源电动势和内阻的实验
测量电源电动势和内阻的误差分析 | 测量电源电动势和内阻的误差分析
测量电源的电动势和内阻 | 测量电源的电动势和内阻
测量电阻率实验的电流与温度控制 | 测量电阻率实验的电流与温度控制
测量电阻率的实验创新 | 测量电阻率的实验创新
测量重力加速度的实验方法 | 测量重力加速度的实验方法
测量金属丝电阻率的实验过程与数据处理 | 测量金属丝电阻率的实验过程与数据处理
测量金属丝电阻率的注意事项 | 测量金属丝电阻率的注意事项
测量金属丝电阻率的误差分析 | 测量金属丝电阻率的误差分析
测量金属丝的电阻率实验 | 测量金属丝的电阻率实验
浸润不浸润与毛细现象 | 浸润不浸润与毛细现象
浸润与不浸润的产生原因 | 浸润与不浸润的产生原因
浸润与不浸润（附着层与毛细现象） | 浸润与不浸润（附着层与毛细现象）
消参法 | 消参法
涡流 | 涡流
特点-整个导体回路的电阻一般很小-感应电流很大-故金属块的发热功率很大 | 涡流的特点与能量转化
液晶 | 液晶
液柱模型 | 液柱模型
深空引力导航 | 深空引力导航
温度计-测量温度的仪器 | 温度计：测量温度的仪器。
游标卡尺的构造与读数 | 游标卡尺的构造与读数
游标卡尺的读数 | 游标卡尺的读数
滑动变阻器两种接法的选择 | 滑动变阻器两种接法的选择
滑动变阻器的限流式与分压式 | 滑动变阻器的限流式与分压式
滑动摩擦-静摩擦-大小可能突增 | 滑动摩擦 → 静摩擦 (大小可能突增)：
滑动摩擦力 | 滑动摩擦力
滑块-摆球模型 | 滑块-摆球模型
滑块-斜面-曲面-模型-相对运动与临界问题 | 滑块-斜面（曲面）模型——相对运动与临界问题
滑块-木板模型 | 滑块-木板模型
滑块-木板模型的临界问题 | 滑块-木板模型的临界问题
滑块-小球-弹簧模型 | 滑块（小球）—弹簧模型
激光 | 激光
火箭 | 火箭
热力学图像问题 | 热力学图像问题
热力学第一定律 | 热力学第一定律
热力学第三定律 | 热力学第三定律
热力学第二定律 | 热力学第二定律
热力学第零定律 | 热力学第零定律
热学实验中的误差分析 | 热学实验中的误差分析
注意事项-x1 | 热学实验的注意事项
热学知识体系 | 热学知识体系
焦耳定律 | 焦耳定律
爆炸模型 | 爆炸模型
爆炸现象与动量守恒 | 爆炸现象与动量守恒
爆炸问题 | 爆炸问题
牛顿力学的局限性 | 牛顿力学的局限性
牛顿第一定律 | 牛顿第一定律
牛顿第三定律 | 牛顿第三定律
牛顿第二定律 | 牛顿第二定律
牛顿第二定律中的正交分解法 | 牛顿第二定律中的正交分解法
牛顿第二定律的理解-五性 | 牛顿第二定律的理解：“五性”
牛顿运动三定律的基本概念和规律 | 牛顿运动三定律的基本概念和规律
牛顿运动三定律的理解和应用 | 牛顿运动三定律的理解和应用
牛顿运动定律中的多过程问题 | 牛顿运动定律中的多过程问题
物体看作质点的条件-物体的大小和形状对研究问题的影响可以忽略 | 物体看作质点的条件
物理作图的基本规范 | 物理作图的基本规范
物理图像的斜率与面积分析法 | 物理图像的斜率与面积分析法
物理意义-一切自发过程总是沿着分子热运动的无序度增大的方向进行程 | 物理意义
物质波 | 物质波
特征谱线 | 特征谱线
特殊值法-对于某些特殊电路问题-可以采取代入特殊值的方法去判定 | 特殊值法
特殊情形-三力平衡 | 特殊情形：三力平衡
狭义相对论的三个结论 | 狭义相对论的三个结论
狭义相对论的基本假设与质速关系 | 狭义相对论的基本假设与质速关系
环形磁场 | 环形磁场
环绕天体法-计算天体的质量 | 环绕天体法：计算天体的质量
玻尔模型 | 玻尔模型
玻尔理论对氢光谱的解析 | 玻尔理论对氢光谱的解析
玻尔理论的几个重要概念 | 玻尔理论的几个重要概念：
球面辐射模型 | 球面辐射模型
理想化模型 | 理想化模型
理想变压器的两类动态分析 | 理想变压器的两类动态分析
理想变压器的制约关系 | 理想变压器的制约关系
理想变压器的关系式 | 理想变压器的基本关系
理想模型与比值定义法 | 理想模型与比值定义法
定义-在任何温度-任何压强下都遵从气体实验定律的气体 | 理想气体
理想气体状态方程 | 理想气体状态方程
理想气体的状态方程 | 理想气体的状态方程
用三角函数求极值处理物理极值问题 | 用三角函数求极值处理物理极值问题
用传感器与计算机描绘平抛运动轨迹 | 用传感器与计算机描绘平抛运动轨迹
用传感器探究平抛运动的特点 | 用传感器探究平抛运动的特点
用力传感器或已知质量的钩码等代替弹簧测力计 | 用力传感器或已知质量的钩码等代替弹簧测力计。
用功能观点分析 | 用功能观点分析
用动力学观点分析 | 用动力学观点分析
用动量定理处理洛伦兹力问题 | 用动量定理处理洛伦兹力问题
用动量定理解释两类现象 | 用动量定理解释两类现象
用单摆测重力加速度的创新设计 | 用单摆测重力加速度的创新设计
用单摆测重力加速度的实验 | 用单摆测重力加速度的实验
用单摆测量重力加速度 | 用单摆测量重力加速度
用双缝干涉测量光的波长实验 | 用双缝干涉测量光的波长实验
用油膜法估测分子的大小 | 用油膜法估测分子的大小
用油膜法估测油酸分子大小的实验要点 | 用油膜法估测油酸分子大小的实验要点
用油膜法估测油酸分子的大小 | 用油膜法估测油酸分子的大小
用油膜法估测油酸分子的大小实验 | 用油膜法估测油酸分子的大小实验
用自由落体运动测重力加速度 | 用自由落体运动测重力加速度
由测定加速度延伸为测定交流电的频率 | 由测定加速度延伸为测定交流电的频率。
由测定加速度延伸为测定动摩擦因数 | 由测定加速度延伸为测定动摩擦因数。
由简谐运动图像获取信息 | 由简谐运动图像获取信息
电偏转与磁偏转的比较 | 电偏转与磁偏转的比较
电功与电热的关系 | 电功与电热的关系
电功率 | 电功率
电动势 | 电动势
电动机牵引情境的功率与能量关系 | 电动机牵引情境的功率与能量关系
电势 | 电势
电势差 | 电势差
电势差与电场强度的关系 | 电势差与电场强度的关系
电势能 | 电势能
电势能变化与电势高低的判断方法 | 电势能变化与电势高低的判断方法
电势高低与电势能大小的判断方法 | 电势高低与电势能大小的判断方法
电压半偏法测电压表内阻 | 电压半偏法测电压表内阻
电压表-电流表的改装 | 电压表、电流表的改装
电压表差值法 | 电压表差值法
电场 | 电场
电场与磁场知识体系 | 电场与磁场知识体系
电场中的v-t图像 | 电场中的v-t图像
电场中的v-t图像分析 | 电场中的v-t图像分析
电场中的功能关系 | 电场中的功能关系
电场强度 | 电场强度
电场强度与电势的叠加 | 电场强度与电势的叠加
电场强度的叠加方法 | 电场强度的叠加方法
电场线 | 电场线
电学实物连图的注意事项 | 电学实物连图的注意事项
电学实验中电表的选择方法 | 电学实验中电表的选择方法
电学实验仪器的选择 | 电学实验仪器的选择
电学实验仪器的选择技巧 | 电学实验仪器的选择技巧
电学实验器材的选取 | 电学实验器材的选取
电学实验器材的选取与实物图连接 | 电学实验器材的选取与实物图连接
电学实验器材的选择 | 电学实验器材的选择
电学实验设计的“三原则”与仪器选择 | 电学实验设计的“三原则”与仪器选择
电容 | 电容
电容器 | 电容器
电容器充放电过程 | 电容器充放电过程
电容-通交流-隔直流-通高频-阻低频 | 电容：通交流、隔直流；通高频、阻低频。
电桥法测电阻 | 电桥法测电阻
电池容量与放电曲线 | 电池容量与放电曲线
电池组的串联与并联 | 电池组的串联与并联
电流 | 电流
电流做功的实质-电能转化成其他形式能的过程 | 电流做功的实质：电能转化成其他形式能的过程。
电流半偏法测电流表内阻 | 电流半偏法测电流表内阻
电流表的内-外接法的选择 | 电流表的内、外接法的选择
电源与电阻的U-I图像比较 | 电源与电阻的U-I图像比较
电源与电阻的U-I图像（工作点） | 电源与电阻的U-I图像（工作点）
电源的内阻-电源内部是由导体构成-所以也有电阻-这个电阻叫做电源的内阻 | 电源的内阻
电源的功率问题 | 电源的功率问题
电源输出功率-整个外电路上消耗的电功率 | 电源输出功率:整个外电路上消耗的电功率.
电火花打点计时器 | 电火花打点计时器
电磁学图像的解题通法 | 电磁学图像的解题通法
电磁感应 | 电磁感应
电磁感应与动量定理模型 | 电磁感应与动量定理模型
电磁感应中电荷量的计算 | 电磁感应中电荷量的计算
电磁感应中的三大动力学观点 | 电磁感应中的三大动力学观点
电磁感应中的单棒模型 | 电磁感应中的单棒模型
电磁感应中的双棒模型 | 电磁感应中的双棒模型
电磁感应中的图像问题 | 电磁感应中的图像问题
电磁感应中的电容器问题 | 电磁感应中的电容器问题
电磁感应中的电荷量计算 | 电磁感应中的电荷量计算
电磁感应中的电路问题 | 电磁感应中的电路问题
电磁感应中的线框模型 | 电磁感应中的线框模型
电磁感应现象 | 电磁感应现象
电磁感应现象及其应用 | 电磁感应现象及其应用
电磁打点计时器 | 电磁打点计时器
电磁振动-电磁波和传感器 | 电磁振动、电磁波和传感器
电磁振荡 | 电磁振荡
电磁波 | 电磁波
电磁流量计 | 电磁流量计
电磁说-麦克斯韦认为光是一种电磁波 | 电磁说：麦克斯韦认为光是一种电磁波。
电磁阻尼与电磁驱动 | 电磁阻尼与电磁驱动
电磁阻尼和电磁驱动 | 电磁阻尼和电磁驱动
电离态与电离能 | 电离态与电离能
电能的输送 | 电能的输送
电能的远距离输送电路图 | 电能的远距离输送电路图：
电荷 | 电荷
电荷守恒定律 | 电荷守恒定律
电表改装问题的两点提醒 | 电表改装问题的两点提醒
电表的使用与量程选择 | 电表的使用与量程选择
电表的内接与外接 | 电表的内接与外接
电表的改装 | 电表的改装
电路与电磁感应中的图像解读 | 电路与电磁感应中的图像解读
电路与电磁感应知识体系 | 电路与电磁感应知识体系
电路中的三类图线 | 电路中的三类图线
电路中的基本定律 | 电路中的基本定律
电路中的基本概念 | 电路中的基本概念
电路动态分析的三种方法 | 电路动态分析的三种方法
电路动态分析的四种方法 | 电路动态分析的四种方法
电路动态分析的方法 | 电路动态分析的方法
电路总电阻的变化规律 | 电路总电阻的变化规律
电路的故障分析 | 电路的故障分析
电路的等效处理方法 | 电路的等效处理方法
电阻定律 | 电阻定律
电阻率 | 电阻率
电阻的定义式与决定式 | 电阻的定义式与决定式
相对位移与划痕长度 | 相对位移与划痕长度
相对湿度 | 相对湿度
物体间恰好不发生相对滑动-的临界条件是物体间恰好达到最大静摩擦力 | 相对滑动的临界条件
相对论 | 相对论
相对论时空观 | 相对论时空观
相对论时空观与牛顿力学的局限性 | 相对论时空观与牛顿力学的局限性
相对运动法（换参法） | 相对运动法（换参法）
相遇次数问题 | 相遇次数问题
瞬时性突变类问题-轻绳-轻弹簧 | 瞬时性突变类问题——轻绳、轻弹簧
瞬时速度 | 瞬时速度
矢量和标量 | 矢量和标量
矢量图解法 | 矢量图解法
知二求三求解卫星运动物理量 | 知二求三求解卫星运动物理量
碰撞与轨道变化综合问题的分析流程 | 碰撞与轨道变化综合问题的分析流程
碰撞中的-时间极短-的含义 | 碰撞中的“时间极短”的含义
碰撞恢复系数 | 碰撞恢复系数
碰撞的分类与比较 | 碰撞的分类与比较
碰撞的可能性分析 | 碰撞的可能性分析
定义-碰撞指的是两个物体在很短的时间内发生相互作用 | 碰撞的过程特点与遵循原则
碰撞过程的三条规律 | 碰撞过程的三条规律
磁场 | 磁场
磁场与磁场的组合模型 | 磁场与磁场的组合模型
磁场与磁场的组合（两段圆弧的衔接） | 磁场与磁场的组合（两段圆弧的衔接）
磁场中的仪器 | 磁场中的仪器
磁场的叠加 | 磁场的叠加
磁场的基本概念和性质 | 磁场的基本概念和性质
磁感应强度 | 磁感应强度
磁感线 | 磁感线
磁感线的特点 | 磁感线的特点
磁电式电表的原理 | 磁电式电表的原理
磁聚焦模型和磁发散模型 | 磁聚焦模型和磁发散模型
磁通量 | 磁通量
磁通量φ-磁通量的变化量δφ及磁通量的变化率的比较 | 磁通量、变化量与变化率的比较
离心现象 | 离心现象
程序法-遵循-局部-整体-局部-的思路 | 程序法: 遵循“局部—整体—局部”的思路
空间抛体问题 | 空间抛体问题
立体空间中的抛体运动 | 立体空间中的抛体运动
竖直上抛运动的处理方法 | 竖直上抛运动的处理方法：
竖直面与水平面约束下的平抛模型 | 竖直面与水平面约束下的平抛模型
竖直面内圆周运动问题的解题思路 | 竖直面内圆周运动问题的解题思路
绳球模型-杆球模型两类经典模型中的临界条件-情景分析 | 竖直面内绳球与杆球模型的临界条件
第一次人工核反应 | 第一次人工核反应
第一类永动机 | 第一类永动机
第二类永动机 | 第二类永动机
等分法 | 等分法
等分法确定电场线 | 等分法确定电场线
等势面 | 等势面
等效替代法 | 等效替代法
等效法在变压器和远距离输电中的应用 | 等效法在变压器和远距离输电中的应用
等效法求解电场中圆周运动问题的解题思路 | 等效法求解电场中圆周运动问题的解题思路
等效电源 | 等效电源
等效电源法处理电路中的功率问题 | 等效电源法处理电路中的功率问题
等效重力场 | 等效重力场
等效重力场的相关知识点及解释 | 等效重力场的相关知识点及解释
等时圆使用条件 | 等时圆使用条件
等量同种与等量异种点电荷的电场分布 | 等量同种与等量异种点电荷的电场分布
简谐运动 | 简谐运动
周期性 | 简谐运动的周期性
简谐运动的图像与对称性 | 简谐运动的图像与对称性
对称性 | 简谐运动的对称性
图象 | 简谐运动的振动图象
简谐运动的振动图象与信息提取 | 简谐运动的振动图象与信息提取
类单摆模型与等效重力加速度 | 类单摆模型与等效重力加速度
类平抛运动 | 类平抛运动
类比-创新-极限等物理思维考查 | 类比、创新、极限等物理思维考查
系统-内力和外力 | 系统、内力和外力
系统牛顿第二定律 | 系统牛顿第二定律
系统误差 | 系统误差
累积法 | 累积法
纯电阻电路和非纯电阻电路的处理 | 纯电阻电路和非纯电阻电路的处理
纵波 | 纵波
纸带在力学实验中的应用分析 | 纸带在力学实验中的应用分析
线框切割磁感线模型 | 线框切割磁感线模型
线段图定位中间时刻速度 | 线段图定位中间时刻速度
线速度 | 线速度
结合能 | 结合能
结论法-串反并同-应用条件为电源内阻不为零 | 结论法：“串反并同”，应用条件为电源内阻不为零．
绳连接与杆连接系统 | 绳连接与杆连接系统
胡克定律 | 胡克定律
能量与动量知识体系 | 能量与动量知识体系
能量图像的斜率意义 | 能量图像的斜率意义
能量子 | 能量子
能量守恒定律 | 能量守恒定律
能量观点-用动能定理和能量守恒观点解题-可处理非匀变速运动问题 | 能量观点
能量观点和动量观点的应用条件 | 能量观点和动量观点的应用条件
能量转化-导体克服安培力做功-其他形式能转化为电能-最终转化为内能 | 能量转化
脱轨条件与类型 | 脱轨条件与类型
自力更生法-求解地球-中心天体-质量 | 自力更生法：求解地球（中心天体）质量
自感 | 自感
自感现象的理解 | 自感现象的理解
自感电动势的大小-el-l-式中l为自感系数-它可以超出线圈两端的原电压 | 自感电动势的大小
自由落体与竖直上抛的相遇问题 | 自由落体与竖直上抛的相遇问题
自由落体运动 | 自由落体运动
自耦变压器与互感器 | 自耦变压器与互感器
自锁现象 | 自锁现象
航天现象中圆周运动的情景创新的问题处理 | 航天现象中圆周运动的情景创新的问题处理
若单独利用动量观点-或能量观点-无法解决问题-可尝试两种观点结合联立方程求解 | 若单独利用动量观点
若边线宽度不等于玻璃砖宽度时引起的误差分析 | 若边线宽度不等于玻璃砖宽度时引起的误差分析。
薄膜干涉 | 薄膜干涉
薄膜干涉的应用 | 薄膜干涉的应用
螺旋测微器的原理与读数 | 螺旋测微器的原理与读数
螺旋测微器的构造与读数 | 螺旋测微器的构造与读数
衍射-波在传播过程中可以绕过障碍物继续传播的现象叫做波的衍射 | 衍射
表面张力 | 表面张力
观察电容器充放电现象实验 | 观察电容器充放电现象实验
角速度 | 角速度
解决波的多解问题的思路和步骤 | 解决波的多解问题的思路和步骤
计时点与计数点 | 计时点与计数点
计算题答题规范 | 计算题答题规范
误差分析-x1 | 误差分析
误差的分类与减小方法 | 误差的分类与减小方法
负载电阻不变的分析思路 | 负载电阻不变的分析思路：
质心运动定律 | 质心运动定律
质点 | 质点
质能方程-该式表明物体的能量和质量之间存在着密切的联系 | 质能方程
质量亏损 | 质量亏损
超重 | 超重
超重与失重的判断方法 | 超重与失重的判断方法
超重-物体有向上的加速度称物体处于超重 | 超重：物体有向上的加速度称物体处于超重。
跃迁产生的谱线条数 | 跃迁产生的谱线条数
路程 | 路程
路端电压与外电阻的关系 | 路端电压与外电阻的关系
转换法 | 转换法
轻弹簧连接系统的机械能守恒 | 轻弹簧连接系统的机械能守恒
轻绳、轻弹簧与轻质弹性绳的对比 | 轻绳、轻弹簧与轻质弹性绳的对比
辅助角公式求物理极值 | 辅助角公式求物理极值
运动学图像的解读与转化 | 运动学图像的解读与转化
运动学方程根的物理意义与取舍 | 运动学方程根的物理意义与取舍
运动性质-匀变速曲线运动-加速度恒为重力加速度-g-大小方向不变 | 运动性质
分析方法 | 运动描述的分析方法
运动的合成与分解 | 运动的合成与分解
运动的对称性 | 运动的对称性
运动轨迹与运动图象的区别 | 运动轨迹与运动图象的区别
运用能量守恒定律解题的基本思路 | 运用能量守恒定律解题的基本思路
近代物理学史-相关粒子的发现和实验 | 近代物理学史——相关粒子的发现和实验
近代物理知识体系 | 近代物理知识体系
近地卫星、同步卫星与赤道上物体的比较 | 近地卫星、同步卫星与赤道上物体的比较
近地卫星、极地卫星与地球同步卫星 | 近地卫星、极地卫星与地球同步卫星
远距离输电 | 远距离输电
连接体中力的分配规律 | 连接体中力的分配规律
连接体对合力的分配原则 | 连接体对合力的分配原则
连接体的受力特点 | 连接体的受力特点
连接体的运动特点 | 连接体的运动特点
连接体问题 | 连接体问题
连接体问题的分析易错-整体法与隔离法应用 | 连接体问题的分析易错——整体法与隔离法应用
连接体间内力的求解 | 连接体间内力的求解
追及与相遇问题 | 追及与相遇问题
追及相遇问题的二次函数法与图像法 | 追及相遇问题的二次函数法与图像法
函数法 | 追及相遇问题的判别式法
图象法 | 追及相遇问题的图象法
追及相遇问题的实质及分析思路 | 追及相遇问题的实质及分析思路：
追及问题的分析和解题思路 | 追及问题的分析和解题思路
追及问题的常见类型 | 追及问题的常见类型
适用情况-判断导线切割磁感线产生的感应电流方向 | 适用情况：判断导线切割磁感线产生的感应电流方向。
逆向-对称-极限等物理思维考查 | 逆向、对称、极限等物理思维考查
逆向思维 | 逆向思维
逐差法原理 | 逐差法原理
通过位移之比测量加速度之比 | 通过位移之比测量加速度之比
速度 | 速度
速度-速度的变化量-加速度的比较 | 速度、速度的变化量、加速度的比较
速度位移公式 | 速度位移公式
速度定义-位移与发生这段位移所用时间之比-表示物体运动快慢的物理量-是过程量 | 速度定义
速度时间公式 | 速度时间公式
速率与平均速率 | 速率与平均速率
造成波动问题多解的主要因素有 | 造成波动问题多解的主要因素有
配速法 | 配速法
重力 | 重力
重力做功与重力势能变化的关系 | 重力做功与重力势能变化的关系
重力势能 | 重力势能
