# CHEMISTRY 节点表（slug | 名字）：1202 个
4-溴甲基-1-环己烯的一种合成路线如下 | 4-溴甲基-1-环己烯的一种合成路线如下：
新型无机非金属材料 | 新型无机非金属材料
无机化合物制备实验的分析模型 | 无机化合物制备实验的分析模型
无机含氧酸酸性强弱的判断 | 无机含氧酸酸性强弱的判断
无机非金属材料的分类与特点 | 无机非金属材料的分类与特点
中学化学中常见的既能与盐酸反应-又能与naoh溶液反应的物质 | 既能与盐酸又能与NaOH反应的物质
既能跟稀盐酸反应-又能跟氢氧化钠溶液反应的化合物是 | 既能跟稀盐酸反应
明确有机物之间的转化关系-构建有机合成体系 | 明确有机物之间的转化关系，构建有机合成体系
晶体 | 晶体
晶体与非晶体 | 晶体与非晶体
晶体中配位数的确定 | 晶体中配位数的确定
晶体熔-沸点比较的解题思维流程 | 晶体熔、沸点比较的解题思维流程
晶体熔-沸点高低的比较方法 | 晶体熔、沸点高低的比较方法
下列各图为几种晶体或晶胞的构型示意图 | 晶体类型与晶胞构型的判断
晶体结构与性质的易错点 | 晶体结构与性质的易错点
晶胞 | 晶胞
晶胞中粒子配位数的计算 | 晶胞中粒子配位数的计算
晶胞参数与密度计算 | 晶胞参数与密度计算
晶胞参数与晶体密度的计算 | 晶胞参数与晶体密度的计算
晶胞密度的计算 | 晶胞密度的计算
晶胞投影 | 晶胞投影
晶胞晶体密度的计算 | 晶胞晶体密度的计算
晶胞空间利用率的计算 | 晶胞空间利用率的计算
晶胞组成的计算-均摊法 | 晶胞组成的计算——均摊法。
有关fe2-fe3-的水解问题 | 有关Fe2＋、Fe3＋的水解问题
有关ksp的易错点 | 有关Ksp的易错点
有关ph计算的一般思维模型 | 有关pH计算的一般思维模型
有关分子的性质的易混易错点 | 有关分子的性质的易混易错点
有关分子的溶解性-解答下列各题 | 有关分子的溶解性
有关化学平衡常数易混易错点 | 有关化学平衡常数易混易错点
有关化学键易错点 | 有关化学键易错点
有关合成高分子的易混易错点 | 有关合成高分子的易混易错点
有关物质的熔-沸点-解答下列问题 | 有关物质的熔、沸点
有关物质的量浓度的计算 | 有关物质的量浓度的计算
有关电离常数计算的两种类型-以弱酸hx为例 | 有关电离常数计算的两种类型(以弱酸HX为例)
有关蛋白质的易混易错点 | 有关蛋白质的易混易错点
有关配合物的易混易错点 | 有关配合物的易混易错点
有关醛的定量计算 | 有关醛的定量计算
有关铁及其化合物的除杂 | 有关铁及其化合物的除杂
有多种同分异构体-同时满足下列条件的同分异构体有_____种-不考虑立体异构 | 有多种同分异构体
有效碰撞理论解释外因对化学反应速率的影响 | 有效碰撞理论解释外因对化学反应速率的影响
有机制备实验的操作要点 | 有机制备实验的操作要点
有机化合物中的共价键 | 有机化合物中的共价键
有机化合物中碳原子的成键特点 | 有机化合物中碳原子的成键特点
有机化合物制备实验的分析步骤 | 有机化合物制备实验的分析步骤
有机化合物的共面共线的判断 | 有机化合物的共面共线的判断
有机化合物的空间结构 | 有机化合物的空间结构
有机反应机理与断键规律 | 有机反应机理与断键规律
有机合成 | 有机合成
有机合成中官能团的保护 | 有机合成中官能团的保护
有机合成中碱性试剂的作用与选择 | 有机合成中碱性试剂的作用与选择
有机合成中碳骨架的构建 | 有机合成中碳骨架的构建
有机合成路线的推断方法 | 有机合成路线的推断方法
有机实验中官能团与水解产物的检验 | 有机实验中官能团与水解产物的检验
有机物元素组成的定性分析 | 有机物元素组成的定性分析
有机物分子分子式的确定 | 有机物分子分子式的确定
有机物分子式和结构确定易混易错点 | 有机物分子式和结构确定易混易错点
有机物分子结构的确定 | 有机物分子结构的确定
有机物分子结构的鉴定方法 | 有机物分子结构的鉴定方法
有机物分类易混易错点 | 有机物分类易混易错点
有机物制备实验的常用操作与仪器 | 有机物制备实验的常用操作与仪器
有机物制备实验的思路与操作要点 | 有机物制备实验的思路与操作要点
有机物制备实验的要点 | 有机物制备实验的要点
有机物制备实验题的分析模型 | 有机物制备实验题的分析模型
有机物制备的基本操作 | 有机物制备的基本操作
有机物制备的装置设计与除杂 | 有机物制备的装置设计与除杂
有机物原子共线共面的判断 | 有机物原子共线共面的判断
有机物命名易错点 | 有机物命名易错点
有机物的分离和提纯 | 有机物的分离和提纯
有机物的分类和官能团的识别 | 有机物的分类和官能团的识别
有机物的制备实验 | 有机物的制备实验
1-按系统命名法对下列有机物进行命名 | 有机物的系统命名法
有机物的结构特点 | 有机物的结构特点
有机物组成和结构的确定 | 有机物组成和结构的确定
有机物结构的表示方法 | 有机物结构的表示方法
有机结构分析方法的对比与选用 | 有机结构分析方法的对比与选用
杂化轨道 | 杂化轨道
杂化轨道理论 | 杂化轨道理论
李比希定量分析法 | 李比希定量分析法
极端假设法确定可逆反应的浓度范围 | 极端假设法确定可逆反应的浓度范围
极端假设法确定各物质浓度范围 | 极端假设法确定各物质浓度范围
极端假设法确定浓度范围 | 极端假设法确定浓度范围
构造原理 | 构造原理
某温度下-在一恒容密闭容器中进行如下两个反应并达到平衡 | 某温度下
核反应方程的分析 | 核反应方程的分析
核反应方程的分析思路 | 核反应方程的分析思路
核反应方程的质量数守恒与电荷数守恒 | 核反应方程的质量数守恒与电荷数守恒
核外电子运动状态 | 核外电子运动状态
核外电子运动状态和电子排布易错点 | 核外电子运动状态和电子排布易错点
核外电子运动状态的表示和判断 | 核外电子运动状态的表示和判断
核磁共振氢谱 | 核磁共振氢谱
核素 | 核素
d2o-h-h-d-h-t-h-三者中的中子数不同 | 核素与同位素
核素的相对原子质量与元素的相对原子质量 | 核素的相对原子质量与元素的相对原子质量
核酸 | 核酸
核酸的结构与性质 | 核酸的结构与性质
根据分子-离子-结构推断元素 | 根据分子（离子）结构推断元素
根据化学方程式计算的步骤 | 根据化学方程式计算的步骤
根据反应事实判断性质的强弱 | 根据反应事实判断性质的强弱。
根据影响因素判断氧化性-还原性强弱的方法 | 根据影响因素判断氧化性、还原性强弱的方法
根据性质确定官能团的位置 | 根据性质确定官能团的位置
根据文字描述信息推断元素 | 根据文字描述信息推断元素
根据有机反应中定量关系推断官能团的数目 | 根据有机反应中定量关系推断官能团的数目
根据试剂或特征现象推知官能团的种类 | 根据试剂或特征现象推知官能团的种类
根据题给信息写出对应的方程式 | 根据题给信息写出对应的方程式：
格氏试剂在有机合成中的应用 | 格氏试剂在有机合成中的应用
检验so2和co2同时存在的一般流程 | 检验SO2和CO2同时存在的一般流程
横向变化体现了同价态不同的类别-氧化物-碱-盐-物质之间的转化 | 横向变化体现同价态不同类别的转化
次氯酸和次氯酸盐 | 次氯酸和次氯酸盐
比较物质酸性强弱的方法 | 比较物质酸性强弱的方法
气体体积的测定 | 气体体积的测定
气体体积的测定方法 | 气体体积的测定方法
气体制备 | 气体制备
气体摩尔体积 | 气体摩尔体积
看-气体-是否处于-标准状况-0-101kpa | 气体摩尔体积的适用条件
气体泄漏的检验与白烟白雾辨析 | 气体泄漏的检验与白烟白雾辨析
气体溶于水后溶液浓度的计算 | 气体溶于水后溶液浓度的计算
氢化钠-nah-广泛应用于工业生产 | 氢化钠(NaH)广泛应用于工业生产。
氢氧化钠的性质与制取 | 氢氧化钠的性质与制取
氢氧化钠的性质与应用 | 氢氧化钠的性质与应用
氢氧化铜 | 氢氧化铜
氢氧化铝沉淀图像分析 | 氢氧化铝沉淀图像分析
氢氧化铝沉淀的图像与计算 | 氢氧化铝沉淀的图像与计算
氢氧化铝沉淀量的计算 | 氢氧化铝沉淀量的计算
氢氧化铝的制备方法 | 氢氧化铝的制备方法
氢氧化铝的性质与制备 | 氢氧化铝的性质与制备
氢硫酸的性质与硫化氢的检验 | 氢硫酸的性质与硫化氢的检验
氢键 | 氢键
氧化剂 | 氧化剂
氧化性-还原性强弱比较易错点 | 氧化性、还原性强弱比较易错点
氧化性-还原性强弱的比较 | 氧化性、还原性强弱的比较
氧化性-还原性的判断 | 氧化性、还原性的判断
氧化物的类型 | 氧化物的类型
氧化还原反应 | 氧化还原反应
氧化还原反应中电子转移的表示方法 | 氧化还原反应中电子转移的表示方法
氧化还原反应方程式的配平方法 | 氧化还原反应方程式的配平方法
氧化还原反应概念的-易错点 | 氧化还原反应概念的“易错点”
氧化还原反应概念的辨析方法 | 氧化还原反应概念的辨析方法
氧化还原反应的守恒规律 | 氧化还原反应的守恒规律
氧化还原反应规律及其应用 | 氧化还原反应规律及其应用
氧化还原滴定 | 氧化还原滴定
氧化还原滴定法 | 氧化还原滴定法
氧化还原滴定的原理与指示剂 | 氧化还原滴定的原理与指示剂
氧化钠 | 氧化钠
氧化铝-氢氧化铝两性的重要应用 | 氧化铝、氢氧化铝两性的重要应用
氧化铝的性质与应用 | 氧化铝的性质与应用
o2作为原电池的正极反应物时-其电极反应在不同的介质中有不同的写法 | 氧气的电极反应式书写
氨 | 氨
氨基酸的结构与性质 | 氨基酸的结构与性质
nh3是中学化学中唯一的碱性气体-能使湿润的-色石蕊试纸变 | 氨气与铵根离子的检验
利用nh3的还原性可以消除氮氧化物的污染-其中除去no的主要反应如下 | 氨气还原氮氧化物
氨的化学性质 | 氨的化学性质
氨的实验室制法 | 氨的实验室制法
氮元素的价类二维图及转化关系 | 氮元素的价类二维图及转化关系
氮及化合物的-十大-误区 | 氮及化合物的“十大”误区
氮气 | 氮气
氮氧化物与氧气混合溶于水的计算 | 氮氧化物与氧气混合溶于水的计算
n2o-no和no2等氮氧化物是空气污染物-含有氮氧化物的尾气需处理后才能排放 | 氮氧化物的污染与尾气处理
氮的固定 | 氮的固定
氮的氧化物 | 氮的氧化物
氯化铝的结构与性质 | 氯化铝的结构与性质
氯及其化合物的价类二维图 | 氯及其化合物的价类二维图
氯及其化合物的知识盲点 | 氯及其化合物的知识盲点
氯及其化合物的转化关系 | 氯及其化合物的转化关系
氯气 | 氯气
氯水的成分 | 氯水的成分
氯的常见氧化物 | 氯的常见氧化物
氯离子检验 | 氯离子检验
氯胺 | 氯胺
水垢的成分与除水垢方法 | 水垢的成分与除水垢方法
水泥 | 水泥
水溶液中多曲线图像题的分析方法 | 水溶液中多曲线图像题的分析方法
水电离出的c(H+)（或c(OH-)）的计算 | 水电离出的c(H+)（或c(OH-)）的计算
水电离出的c水(H＋)与c水(OH－)的计算 | 水电离出的c水(H＋)与c水(OH－)的计算
水电离出的离子浓度的计算 | 水电离出的离子浓度的计算
水的电离 | 水的电离
水的电离平衡曲线 | 水的电离平衡曲线
水的电离平衡移动的影响因素 | 水的电离平衡移动的影响因素
水的电离易错-七-点 | 水的电离易错“七”点
水的离子积常数 | 水的离子积常数
水解平衡常数-能水解的盐表示为ma | 水解平衡常数(能水解的盐表示为MA)
粗盐水中加入氯化钡溶液使s沉淀而除去-如何检验s是否沉淀完全 | 沉淀完全的检验方法
沉淀溶解平衡 | 沉淀溶解平衡
沉淀溶解平衡体系中相关计算方法 | 沉淀溶解平衡体系中相关计算方法
沉淀溶解平衡实验设计与评价题的解题思路 | 沉淀溶解平衡实验设计与评价题的解题思路
沉淀溶解平衡易错六点 | 沉淀溶解平衡易错六点
沉淀溶解平衡的应用 | 沉淀溶解平衡的应用
沉淀滴定法 | 沉淀滴定法
沉淀的洗涤与检验 | 沉淀的洗涤与检验
在饱和溶液中加入少量的溶液产生沉淀-若以ksp表示的溶度积常数-则平衡后溶液中 | 沉淀转化方向的判断
油脂 | 油脂
洗涤与去污中的化学原理 | 洗涤与去污中的化学原理
活化能 | 活化能
浓度商与化学平衡常数的表达式 | 浓度商与化学平衡常数的表达式
浓度计算的常用方法 | 浓度计算的常用方法
浓盐酸和浓氨水反应有白烟生成-常用于hcl和nh3的相互检验 | 浓氨水与浓盐酸的相互检验
浓硫酸 | 浓硫酸
浓硫酸与金属的反应规律 | 浓硫酸与金属的反应规律
浓硫酸转化为二氧化硫 | 浓硫酸转化为二氧化硫
海带中提取碘 | 海带中提取碘
海水提取溴 | 海水提取溴
海水提取镁 | 海水提取镁
海水提镁的工艺流程分析 | 海水提镁的工艺流程分析
海水资源 | 海水资源
液流电池的特点与分析 | 液流电池的特点与分析
为了检验淀粉水解产物-某学生设计了如下实验方案 | 淀粉水解产物的检验
淀粉-或纤维素-中含有的羟基数为3n | 淀粉（或纤维素）中含有的羟基数为3n
混合溶液酸碱性的判断规律 | 混合溶液酸碱性的判断规律
混合物 | 混合物
混合物计算的方法 | 混合物计算的方法
温度计的使用规范 | 温度计的使用规范
游离态 | 游离态
溴苯和硝基苯的制取实验 | 溴苯和硝基苯的制取实验
溶度积 | 溶度积
溶度积和离子积的关系 | 溶度积和离子积的关系
溶液ph的计算 | 溶液pH的计算
溶液中微粒浓度大小的比较 | 溶液中微粒浓度大小的比较
溶液中微粒种类的判断 | 溶液中微粒种类的判断
在fecl3-cucl2混合溶液中-加入铁粉与铜粉的混合物 | 溶液中溶质成分的判断
溶液中离子反应与平衡图像题解题策略 | 溶液中离子反应与平衡图像题解题策略
0-1-mol-l-1的na2co3溶液中各粒子浓度的关系 | 溶液中粒子浓度的大小关系
0-1-mol-l-1的-nh4-2so4溶液中各粒子浓度的关系 | 溶液中粒子浓度的守恒关系
溶液中粒子等量关系-三大守恒 | 溶液中粒子等量关系——三大守恒
溶液的ph | 溶液的pH
溶液的稀释和混合问题 | 溶液的稀释和混合问题
溶液的配制步骤 | 溶液的配制步骤
溶液的配制误差分析 | 溶液的配制误差分析
溶液的酸碱性 | 溶液的酸碱性
溶液稀释与混合的计算 | 溶液稀释与混合的计算
溶解度曲线及其应用 | 溶解度曲线及其应用
溶解性与溶解度的关系 | 溶解性与溶解度的关系
溶质为碱的溶液-h-全部来自水的电离 | 溶质为碱的溶液：H＋全部来自水的电离。
溶质为酸的溶液-oh-全部来自水的电离 | 溶质为酸的溶液：OH－全部来自水的电离。
溶质判断与溶液体积的易错点 | 溶质判断与溶液体积的易错点
溶质的质量分数 | 溶质的质量分数
滴加顺序不同现象不同 | 滴加顺序不同现象不同
滴定分析法 | 滴定分析法
滴定实验相关计算 | 滴定实验相关计算
滴定操作 | 滴定操作
滴定曲线 | 滴定曲线
漂白粉 | 漂白粉
炔烃 | 炔烃
炔烃的化学性质 | 炔烃的化学性质
烃类的燃烧规律 | 烃类的燃烧规律
热化学方程式 | 热化学方程式
热化学方程式书写注意事项 | 热化学方程式书写注意事项
热重分析法 | 热重分析法
热重分析确定金属化合物的组成 | 热重分析确定金属化合物的组成
热重法测定物质组成 | 热重法测定物质组成
烯烃 | 烯烃
烯烃的化学性质 | 烯烃的化学性质
烯烃的顺反异构 | 烯烃的顺反异构
烷烃 | 烷烃
烷烃的化学性质 | 烷烃的化学性质
烷烃的命名 | 烷烃的命名
焓变 | 焓变
焦亚硫酸钠 | 焦亚硫酸钠
焰色反应 | 焰色反应
焰色试验 | 焰色试验
焰色试验-易错点 | 焰色试验“易错点”
焰色试验的应用 | 焰色试验的应用
煤的综合利用 | 煤的综合利用
熟记硅及其化合物的特殊性质 | 熟记硅及其化合物的特殊性质
熵和熵变的含义 | 熵和熵变的含义
燃料电池 | 燃料电池
甲烷作燃料电池的负极反应物时-其电极反应式在不同的介质中有不同的写法 | 燃料电池电极反应式的书写
燃烧热 | 燃烧热
燃烧通式与平均值法 | 燃烧通式与平均值法
物理变化 | 物理变化
物理变化与化学变化的两种判断方法 | 物理变化与化学变化的两种判断方法
熟练掌握溶解-过滤-蒸发等操作-认识化学方法在物质分离和提纯中的重要作用 | 物质分离提纯的常用方法
物质制备流程与条件控制 | 物质制备流程与条件控制
物质变化过程中的化学键变化 | 物质变化过程中的化学键变化
物质含量的测定方法 | 物质含量的测定方法
物质性质验证类实验 | 物质性质验证类实验
计算下列小题中所含微粒数目 | 物质所含微粒数目的计算
物质检验 | 物质检验
物质的分类 | 物质的分类
物质的加热操作 | 物质的加热操作
物质的化学键 | 物质的化学键
物质的性质与变化的关系 | 物质的性质与变化的关系
物质的溶解与加热 | 物质的溶解与加热
物质的溶解与加热操作 | 物质的溶解与加热操作
物质的溶解与气体的吸收 | 物质的溶解与气体的吸收
物质的溶解与稀释 | 物质的溶解与稀释
物质的溶解与稀释操作 | 物质的溶解与稀释操作
物质的组成 | 物质的组成
下列有关物质的组成与分类的叙述正确的有________-填序号 | 物质的组成与分类判断
物质的聚集状态 | 物质的聚集状态
物质的量 | 物质的量
物质的量-或浓度-时间图像 | 物质的量(或浓度)—时间图像
物质的量-阿伏加德罗常数 | 物质的量、阿伏加德罗常数
物质的量在化学方程式计算中的应用 | 物质的量在化学方程式计算中的应用
物质的量在化学方程式计算中的步骤 | 物质的量在化学方程式计算中的步骤
物质的量浓度 | 物质的量浓度
物质间不能一步实现的转化 | 物质间不能一步实现的转化
物质间转化的5个常见易错点 | 物质间转化的5个常见易错点
现象描述答题模板 | 现象描述答题模板
玻璃 | 玻璃
玻璃仪器的洗涤 | 玻璃仪器的洗涤
玻璃纤维的性质与用途 | 玻璃纤维的性质与用途
理解物质氧化性-还原性强弱的注意事项 | 理解物质氧化性、还原性强弱的注意事项
生活中的化学常识与常见药物 | 生活中的化学常识与常见药物
用稀有气体元素确定主族元素位置 | 用稀有气体元素确定主族元素位置
难溶电解质的ksp数值越小-表明在水中的溶解能力就越弱-这种说法对吗 | 由Ksp比较溶解能力的前提
由图像确定化学方程式 | 由图像确定化学方程式
1-根据的结构特征-预测其可能的化学性质 | 由官能团预测反应类型
黄酮哌酯是一种解痉药-可通过如下路线合成 | 由定量关系推断官能团数目
由性质与产物推断官能团的位置 | 由性质与产物推断官能团的位置
由水电离的c(H＋)或c(OH－)的计算 | 由水电离的c(H＋)或c(OH－)的计算
甲-乙-丙三种有机物的结构如下 | 甲、乙、丙三种有机物的结构如下：
甲烷 | 甲烷
甲烷氯代的自由基链反应机理 | 甲烷氯代的自由基链反应机理
甲烷与氯气在光照条件下存在如下反应历程-表示电子 | 甲烷的取代反应
电冶金 | 电冶金
电化学中电子流向与离子迁移方向的判断 | 电化学中电子流向与离子迁移方向的判断
电化学回路中电子流向与离子迁移 | 电化学回路中电子流向与离子迁移
电化学综合计算的三种常用方法 | 电化学综合计算的三种常用方法
电化学装置的回路分析与离子迁移 | 电化学装置的回路分析与离子迁移
电子云与原子轨道轮廓图 | 电子云与原子轨道轮廓图
电子守恒法计算的原理 | 电子守恒法计算的原理
电子守恒法计算的流程 | 电子守恒法计算的流程
电子式 | 电子式
电子式的书写与判断 | 电子式的书写与判断
电子式的书写注意事项 | 电子式的书写注意事项
电子排布式 | 电子排布式
电子数相等的粒子的判断与应用 | 电子数相等的粒子的判断与应用
电子转移 | 电子转移
电极反应式 | 电极反应式
电离 | 电离
电离常数 | 电离常数
电离平衡 | 电离平衡
电离平衡中的7个易错点 | 电离平衡中的7个易错点
电离平衡常数 | 电离平衡常数
电离度 | 电离度
电离方程式的-易错点 | 电离方程式的“易错点”
电离能 | 电离能
电离能的三个重要应用 | 电离能的三个重要应用
电荷守恒在离子推断中的应用 | 电荷守恒在离子推断中的应用
电解原理 | 电解原理
电解原理应用的四点注意事项 | 电解原理应用的四点注意事项
电解原理易错点 | 电解原理易错点
电解和电解池 | 电解和电解池
电解水 | 电解水。
电解池 | 电解池
电解池工作原理-以电解cucl2溶液为例 | 电解池工作原理(以电解CuCl2溶液为例):
电解精炼 | 电解精炼
电解精炼铜 | 电解精炼铜
电解质 | 电解质
电解质及其分类 | 电解质及其分类
电解质导电性的-易错点 | 电解质导电性的“易错点”
电解质概念和判断的几个-特殊点 | 电解质概念和判断的几个“特殊点”
电解质溶液的导电原理 | 电解质溶液的导电原理
电解质溶液的导电性 | 电解质溶液的导电性
电解质的电离 | 电解质的电离
电解质的电离的-易错点 | 电解质的电离的“易错点”
电解过程中溶液性质的变化与溶液复原 | 电解过程中溶液性质的变化与溶液复原
电解饱和食盐水-氯碱工业 | 电解饱和食盐水——氯碱工业
电负性 | 电负性
电负性的三个重要应用 | 电负性的三个重要应用
电镀与电解精炼 | 电镀与电解精炼
盐桥的作用 | 盐桥的作用
盐桥的作用与双液原电池 | 盐桥的作用与双液原电池
盐溶液 | 盐溶液
盐溶液蒸干灼烧时所得产物的判断 | 盐溶液蒸干灼烧时所得产物的判断
盐溶液酸碱性的判断 | 盐溶液酸碱性的判断
盐类水解 | 盐类水解
盐类水解的三个误区 | 盐类水解的三个误区
实质 | 盐类水解的实质
盐类水解的影响因素 | 盐类水解的影响因素
盐类水解的规律及拓展应用 | 盐类水解的规律及拓展应用
盐类水解离子方程式的书写 | 盐类水解离子方程式的书写
盐类水解程度大小比较的规律 | 盐类水解程度大小比较的规律
盖斯定律 | 盖斯定律
盖斯定律的应用 | 盖斯定律的应用
相同ph-相同体积的一元强酸与一元弱酸的比较 | 相同pH、相同体积的一元强酸与一元弱酸的比较
相对原子质量 | 相对原子质量
相对原子质量(核素与元素) | 相对原子质量(核素与元素)
相对原子质量与近似相对原子质量 | 相对原子质量与近似相对原子质量
看-标准状况-下物质是否为-气体 | 看“标准状况”下物质是否为“气体”。
石油的综合利用 | 石油的综合利用
石油裂解是一个复杂的过程-其产物为混合物-例如 | 石油裂解的产物
研究有机化合物的一般方法 | 研究有机化合物的一般方法
硅 | 硅
硅及其化合物的-七大-误区 | 硅及其化合物的“七大”误区
硅的工业制法 | 硅的工业制法
硅酸和硅酸盐 | 硅酸和硅酸盐
硅酸盐 | 硅酸盐
硅酸盐改写成氧化物形式的方法 | 硅酸盐改写成氧化物形式的方法
硒、碲及其化合物的性质 | 硒、碲及其化合物的性质
硒和碲及其化合物的性质 | 硒和碲及其化合物的性质
硝酸 | 硝酸
硝酸与金属反应的规律 | 硝酸与金属反应的规律
硫 | 硫
硫与变价金属的反应规律 | 硫与变价金属的反应规律
硫代硫酸钠 | 硫代硫酸钠
硫代硫酸钠的性质 | 硫代硫酸钠的性质
硫化氢的性质 | 硫化氢的性质
硫化钠转化为单质硫 | 硫化钠转化为单质硫
硫单质 | 硫单质
硫及其化合物之间的转化规律 | 硫及其化合物之间的转化规律
硫及其重要化合物的知识盲点 | 硫及其重要化合物的知识盲点
硫转化为硫化亚铁 | 硫转化为硫化亚铁
硫酸 | 硫酸
硫酸亚铁铵的制备 | 硫酸亚铁铵的制备
硫酸根离子的检验 | 硫酸根离子的检验
硫酸的工业制备（接触法） | 硫酸的工业制备（接触法）
硫酸是中学化学实验室的常见药品-其性质有 | 硫酸的性质与实验应用
碘量法 | 碘量法
碱金属元素单质及其化合物有广泛用途 | 碱金属元素单质及其化合物有广泛用途。
碱金属元素易错知识点 | 碱金属元素易错知识点
碱金属的一般性与特殊性 | 碱金属的一般性与特殊性
碳-硅单质的化学性质-还原性 | 碳、硅单质的化学性质——还原性
碳-硅及其化合物的知识盲点 | 碳、硅及其化合物的知识盲点
碳中和 | 碳中和
碳元素的单质有多种形式-下图依次是c60-石墨和金刚石的结构图 | 碳单质与同素异形体
碳纳米材料 | 碳纳米材料
碳酸氢钠 | 碳酸氢钠
碳酸钠 | 碳酸钠
碳酸钠-碳酸氢钠与酸反应的特点 | 碳酸钠、碳酸氢钠与酸反应的特点
碳酸钠与碳酸氢钠的相互转化 | 碳酸钠与碳酸氢钠的相互转化
碳酸钠和碳酸氢钠易错知识点 | 碳酸钠和碳酸氢钠易错知识点
碳酸钠和碳酸氢钠的鉴别 | 碳酸钠和碳酸氢钠的鉴别
磷及其化合物的性质 | 磷及其化合物的性质
下列溶液中-离子一定能大量共存的有____________ | 离子不能大量共存的常见类型
离子交换膜 | 离子交换膜
离子交换膜的种类与作用 | 离子交换膜的种类与作用
离子共存 | 离子共存
离子共存的判断易错点 | 离子共存的判断易错点
离子共存问题解题要点 | 离子共存问题解题要点
离子化合物 | 离子化合物
离子反应 | 离子反应
离子反应先后顺序的判断 | 离子反应先后顺序的判断
离子反应顺序的判断 | 离子反应顺序的判断
离子推断的四项原则 | 离子推断的四项原则
离子推断的四项基本原则 | 离子推断的四项基本原则
离子推断的基本原则 | 离子推断的基本原则
离子推断的常见特殊现象 | 离子推断的常见特殊现象
离子推断的方法与原则 | 离子推断的方法与原则
离子推断解题技法 | 离子推断解题技法
离子放电顺序与电解产物判断 | 离子放电顺序与电解产物判断
离子方程式 | 离子方程式
离子方程式书写应注意的问题 | 离子方程式书写应注意的问题
书写离子方程式应注意的问题 | 离子方程式书写的注意事项
离子方程式的正误判断方法 | 离子方程式的正误判断方法
离子方程式题设错方式 | 离子方程式题设错方式
离子晶体 | 离子晶体
离子浓度大小比较的方法 | 离子浓度大小比较的方法
离子键 | 离子键
竞争型离子方程式的书写-先强后弱法 | 竞争型离子方程式的书写(先强后弱法)：
等效平衡 | 等效平衡
等温(等压)平衡曲线分析 | 等温(等压)平衡曲线分析
等电子原理 | 等电子原理
等质量的铝与足量的盐酸-氢氧化钠溶液分别反应 | 等质量的铝与足量的盐酸、氢氧化钠溶液分别反应：
简单有机物同分异构体的书写 | 简单有机物同分异构体的书写
简单的电镀实验 | 简单的电镀实验
粗盐提纯的试剂加入顺序 | 粗盐提纯的试剂加入顺序
粗盐提纯的除杂试剂与顺序 | 粗盐提纯的除杂试剂与顺序
糖类 | 糖类
糖类的组成和分类 | 糖类的组成和分类
糖类的结构和性质 | 糖类的结构和性质
糖类的结构和性质易混易错点 | 糖类的结构和性质易混易错点
红外光谱与质谱 | 红外光谱与质谱
红色物质cu和cu2o的检验 | 红色物质Cu和Cu2O的检验
纯净物 | 纯净物
纯度、转化率与产率的计算 | 纯度、转化率与产率的计算
纯碱中碳酸钠含量的测定方法 | 纯碱中碳酸钠含量的测定方法
组分含量（或浓度）与温度的关系图像 | 组分含量（或浓度）与温度的关系图像
结合-片段型-元素周期表推断短周期主族元素 | 结合“片段型”元素周期表推断短周期主族元素
结晶方法的选择与操作 | 结晶方法的选择与操作
绿色化学 | 绿色化学
绿色思想-循环使用的物质为co2-饱和食盐水 | 绿色思想：循环使用的物质为CO2、饱和食盐水。
羧酸 | 羧酸
羧酸和酯的结构和性质易混易错点 | 羧酸和酯的结构和性质易混易错点
羧酸的化学性质 | 羧酸的化学性质
羧酸的组成和结构 | 羧酸的组成和结构
羧酸的结构和性质 | 羧酸的结构和性质
联合制碱法-侯氏制碱法 | 联合制碱法——侯氏制碱法
聚合反应 | 聚合反应
聚合反应及聚合物单体的判断 | 聚合反应及聚合物单体的判断
胶体 | 胶体
胶体的性质及应用 | 胶体的性质及应用
胶体知识易错点 | 胶体知识易错点
胺-酰的结构和性质 | 胺、酰的结构和性质
胺-酰胺的结构和性质 | 胺、酰胺的结构和性质
胺和酰胺的结构和性质易混易错点 | 胺和酰胺的结构和性质易混易错点
能垒与决速步骤 | 能垒与决速步骤
能层 | 能层
能源的分类与利用 | 能源的分类与利用
能源的分类与开发利用 | 能源的分类与开发利用
能源类型的划分 | 能源类型的划分
能级 | 能级
脂肪烃的结构和性质 | 脂肪烃的结构和性质
脂肪烃的结构和性质易混易错点 | 脂肪烃的结构和性质易混易错点
脂肪烃的结构特点及通式 | 脂肪烃的结构特点及通式
自发反应 | 自发反应
自然资源的开发利用 | 自然资源的开发利用
自由能与化学反应的方向 | 自由能与化学反应的方向
臭氧 | 臭氧
臭氧与硫代硫酸盐的性质 | 臭氧与硫代硫酸盐的性质
芳香烃 | 芳香烃
芳香烃的用途及对环境的影响 | 芳香烃的用途及对环境的影响
芳香烃的结构和性质易混易错点 | 芳香烃的结构和性质易混易错点
若上述题目中的-1-4-改成一定温度下的恒压密闭容器-结果又如何 | 若上述题目中的
若某溶液中既含又含-请设计实验检验混合溶液中是否存在 | 若某溶液中既含又含
苯 | 苯
苯分子的空间结构 | 苯分子的空间结构
苯及其同系物的性质 | 苯及其同系物的性质
苯环上取代基的定位规律 | 苯环上取代基的定位规律
苯的化学性质 | 苯的化学性质
苯的取代反应实验 | 苯的取代反应实验
苯的同系物的命名 | 苯的同系物的命名
苯的同系物的结构与性质 | 苯的同系物的结构与性质
苯酚的化学性质 | 苯酚的化学性质
